type=electricity+generation&emission=direct&basis=annual
massCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.68505
1991-01-01T00:00:00+00:00 (GMT),0.65916
1992-01-01T00:00:00+00:00 (GMT),0.61845
1993-01-01T00:00:00+00:00 (GMT),0.54915
1994-01-01T00:00:00+00:00 (GMT),0.52665
1995-01-01T00:00:00+00:00 (GMT),0.50519
1996-01-01T00:00:00+00:00 (GMT),0.49909
1997-01-01T00:00:00+00:00 (GMT),0.46253
1998-01-01T00:00:00+00:00 (GMT),0.46984
1999-01-01T00:00:00+00:00 (GMT),0.43933
2000-01-01T00:00:00+00:00 (GMT),0.46543
2001-01-01T00:00:00+00:00 (GMT),0.48355
2002-01-01T00:00:00+00:00 (GMT),0.47103
2003-01-01T00:00:00+00:00 (GMT),0.4923
2004-01-01T00:00:00+00:00 (GMT),0.48714
2005-01-01T00:00:00+00:00 (GMT),0.47943
2006-01-01T00:00:00+00:00 (GMT),0.50674
2007-01-01T00:00:00+00:00 (GMT),0.49892
2008-01-01T00:00:00+00:00 (GMT),0.48548
2009-01-01T00:00:00+00:00 (GMT),0.4455
