type=electricity+generation&emission=direct&basis=annual
massN2OPerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.00561
1991-01-01T00:00:00+00:00 (GMT),0.00542
1992-01-01T00:00:00+00:00 (GMT),0.00509
1993-01-01T00:00:00+00:00 (GMT),0.0042
1994-01-01T00:00:00+00:00 (GMT),0.00394
1995-01-01T00:00:00+00:00 (GMT),0.0037
1996-01-01T00:00:00+00:00 (GMT),0.0034
1997-01-01T00:00:00+00:00 (GMT),0.00292
1998-01-01T00:00:00+00:00 (GMT),0.00297
1999-01-01T00:00:00+00:00 (GMT),0.00254
2000-01-01T00:00:00+00:00 (GMT),0.0028
2001-01-01T00:00:00+00:00 (GMT),0.003
2002-01-01T00:00:00+00:00 (GMT),0.00283
2003-01-01T00:00:00+00:00 (GMT),0.00306
2004-01-01T00:00:00+00:00 (GMT),0.00294
2005-01-01T00:00:00+00:00 (GMT),0.00302
2006-01-01T00:00:00+00:00 (GMT),0.00333
2007-01-01T00:00:00+00:00 (GMT),0.00311
2008-01-01T00:00:00+00:00 (GMT),0.0029
2009-01-01T00:00:00+00:00 (GMT),0.00261
