type=electricity+generation&emission=direct&basis=rolling+average
massCO2PerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.68505
1991-01-01T00:00:00+00:00 (GMT),0.6721
1992-01-01T00:00:00+00:00 (GMT),0.65422
1993-01-01T00:00:00+00:00 (GMT),0.62795
1994-01-01T00:00:00+00:00 (GMT),0.60769
1995-01-01T00:00:00+00:00 (GMT),0.57172
1996-01-01T00:00:00+00:00 (GMT),0.53971
1997-01-01T00:00:00+00:00 (GMT),0.50852
1998-01-01T00:00:00+00:00 (GMT),0.49266
1999-01-01T00:00:00+00:00 (GMT),0.4752
2000-01-01T00:00:00+00:00 (GMT),0.46724
2001-01-01T00:00:00+00:00 (GMT),0.46414
2002-01-01T00:00:00+00:00 (GMT),0.46584
2003-01-01T00:00:00+00:00 (GMT),0.47033
2004-01-01T00:00:00+00:00 (GMT),0.47989
2005-01-01T00:00:00+00:00 (GMT),0.48269
2006-01-01T00:00:00+00:00 (GMT),0.48733
2007-01-01T00:00:00+00:00 (GMT),0.49291
2008-01-01T00:00:00+00:00 (GMT),0.49154
2009-01-01T00:00:00+00:00 (GMT),0.48322
