type=electricity+generation&emission=direct&basis=rolling+average
massCO2ePerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.69084
1991-01-01T00:00:00+00:00 (GMT),0.6778
1992-01-01T00:00:00+00:00 (GMT),0.65977
1993-01-01T00:00:00+00:00 (GMT),0.6332
1994-01-01T00:00:00+00:00 (GMT),0.61271
1995-01-01T00:00:00+00:00 (GMT),0.57636
1996-01-01T00:00:00+00:00 (GMT),0.54394
1997-01-01T00:00:00+00:00 (GMT),0.51232
1998-01-01T00:00:00+00:00 (GMT),0.49622
1999-01-01T00:00:00+00:00 (GMT),0.47847
2000-01-01T00:00:00+00:00 (GMT),0.47035
2001-01-01T00:00:00+00:00 (GMT),0.46716
2002-01-01T00:00:00+00:00 (GMT),0.46885
2003-01-01T00:00:00+00:00 (GMT),0.47337
2004-01-01T00:00:00+00:00 (GMT),0.48301
2005-01-01T00:00:00+00:00 (GMT),0.48586
2006-01-01T00:00:00+00:00 (GMT),0.49057
2007-01-01T00:00:00+00:00 (GMT),0.49621
2008-01-01T00:00:00+00:00 (GMT),0.49482
2009-01-01T00:00:00+00:00 (GMT),0.48644
