type=electricity+generation&emission=direct&basis=rolling+average
massN2OPerEnergy
start,value
1990-01-01T00:00:00+00:00 (GMT),0.00561
1991-01-01T00:00:00+00:00 (GMT),0.00552
1992-01-01T00:00:00+00:00 (GMT),0.00537
1993-01-01T00:00:00+00:00 (GMT),0.00508
1994-01-01T00:00:00+00:00 (GMT),0.00485
1995-01-01T00:00:00+00:00 (GMT),0.00447
1996-01-01T00:00:00+00:00 (GMT),0.00406
1997-01-01T00:00:00+00:00 (GMT),0.00363
1998-01-01T00:00:00+00:00 (GMT),0.00338
1999-01-01T00:00:00+00:00 (GMT),0.0031
2000-01-01T00:00:00+00:00 (GMT),0.00292
2001-01-01T00:00:00+00:00 (GMT),0.00284
2002-01-01T00:00:00+00:00 (GMT),0.00283
2003-01-01T00:00:00+00:00 (GMT),0.00284
2004-01-01T00:00:00+00:00 (GMT),0.00292
2005-01-01T00:00:00+00:00 (GMT),0.00297
2006-01-01T00:00:00+00:00 (GMT),0.00304
2007-01-01T00:00:00+00:00 (GMT),0.00309
2008-01-01T00:00:00+00:00 (GMT),0.00306
2009-01-01T00:00:00+00:00 (GMT),0.00299
