"area","type","massNOxPerEnergy","massOzoneSeasonNOxPerEnergy","massSO2PerEnergy","massCO2PerEnergy","massCH4PerEnergy","massN2OPerEnergy","massCO2ePerEnergy","massHgPerEnergy","gridRegion","units","source"
"AEP - PSO/SWEPCO","total",1.8888,1.7793,2.9600,1591.0277,25.7075,21.8781,1598.3498,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Alaska Misc","total",7.3126,7.3716,0.5989,535.7275,22.6454,4.4750,537.5903,,"AK",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Alcoa Power - Yadkin Division","total",0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Alliant - East","total",1.8204,1.7665,7.7450,2143.2887,25.7890,35.1624,2154.7307,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Alliant - West","total",2.4208,2.2640,6.2732,1598.3816,19.6249,25.8544,1606.8086,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Ameren - Illinois","total",1.2249,0.9868,5.4678,1729.2870,19.8728,28.9960,1738.6931,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Ameren - Missouri","total",52.9137,52.8833,4.5129,3538.6838,151.4921,30.3852,3551.2846,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"American Transmission Systems","total",2.3608,1.8765,8.6185,1619.0043,19.7504,27.5527,1627.9604,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Anchorage Municipality of","total",2.0801,2.1927,0.0386,1292.7209,25.7809,2.5804,1294.0622,,"AK",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Arizona Public Service Company","total",3.8330,3.6185,2.3190,1829.0120,22.5878,27.8018,1838.1049,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Associated Electric Cooperative Inc","total",4.5697,2.3381,3.8960,1878.1666,22.5404,29.7445,1887.8607,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Avista Corporation","total",0.2504,0.2191,0.1828,212.4286,44.4835,6.8199,215.4769,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Big Rivers Electric Corporation","total",3.8137,2.0337,4.7256,2436.0172,31.1474,42.3983,2449.8148,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Bonneville Power Administration","total",0.2427,0.2457,0.0562,279.4657,6.4465,3.5966,280.7160,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"California ISO","total",0.4214,0.3976,0.4535,549.9379,30.0598,4.3677,551.9231,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Chugach Electric Assn Inc","total",1.8558,1.8411,0.0333,1015.3488,20.2962,2.0403,1016.4075,,"AK",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Cleco Corporation","total",2.3358,1.9415,4.0967,1634.6379,38.1966,24.8995,1643.1588,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Columbia MO City of","total",6.0890,5.5831,29.8223,1747.3589,25.8987,29.1028,1756.9246,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Consumers Energy Company","total",1.8203,1.6343,5.0291,1428.1912,48.8762,24.1814,1436.7139,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Dairyland Power Cooperative","total",4.1040,4.1751,9.8174,1939.4386,22.1579,32.8611,1950.0909,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Detroit Edison Company","total",2.5500,1.8076,8.6757,1711.5183,21.8457,28.8977,1720.9354,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Duke Energy Carolinas","total",0.6617,0.6274,4.3396,883.1214,10.4637,14.6087,887.8698,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Duke Energy Corporation","total",3.0546,1.6539,12.8229,1973.3148,22.5282,33.0594,1984.0363,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Dynegy Arlington Valley LLC","total",0.0675,0.0651,0.0044,866.8371,16.9929,1.6993,867.7207,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"East Kentucky Power Cooperative","total",2.5918,1.9498,11.5388,2060.1724,24.2212,34.2111,2071.2865,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"El Paso Electric Company","total",1.9385,1.8240,0.0075,1268.8442,24.8878,2.4890,1270.1385,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Empire District Electric Company","total",3.0046,2.7294,8.8198,1534.2794,21.7385,18.2807,1540.4029,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Entergy","total",1.2047,1.3076,1.6719,1006.4852,21.8920,11.3637,1010.4677,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"EON-US","total",2.9038,1.8311,8.7478,2084.6600,23.9999,34.9283,2095.9918,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"ERCOT ISO","total",0.7382,0.7224,2.5557,1252.5653,17.7570,13.9910,1257.2754,,"TX",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Florida Municipal Power Pool","total",1.7717,1.7106,1.2592,1634.5611,21.7267,22.3373,1641.9419,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Florida Power & Light Co","total",1.1080,1.1551,2.0298,817.8932,44.8726,6.7562,820.9299,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Gainesville Regional Utilities","total",4.4689,4.2718,9.0959,2145.8460,27.4372,31.1904,2156.0912,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Gila River Power","total",0.2279,0.3190,0.0044,875.0093,17.1531,1.7153,875.9013,,"W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Golden Valley Elec Assn Inc","total",5.8707,5.6004,5.8299,1948.8609,45.4814,25.9459,1957.8593,,"AK",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"Grand River Dam Authority","total",3.8733,3.5164,4.6068,2190.6336,25.0439,37.5004,2202.7846,,"E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
