"state","type","massNOxPerEnergy","massOzoneSeasonNOxPerEnergy","massSO2PerEnergy","massCO2PerEnergy","massCH4PerEnergy","massN2OPerEnergy","massCO2ePerEnergy","massHgPerEnergy","stateName","gridRegion","units","source"
"AK","total",3.6981,3.7052,1.1704,1134.7161,26.2133,6.8449,1137.3884,,"Alaska","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"AL","total",1.7667,1.2349,6.3108,1323.4728,22.6153,21.5874,1330.6398,,"Alabama","AK",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"AR","total",1.4851,1.4615,2.8652,1200.0102,25.3596,20.8144,1206.9952,,"Arkansas","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"AZ","total",1.5098,1.4133,1.0199,1178.8588,15.8537,15.5587,1184.0149,,"Arizona","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"CA","total",0.3873,0.3658,0.4090,565.8848,29.7330,4.2363,567.8224,,"California","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"CO","total",2.5790,2.5896,2.5338,1807.0656,22.8619,26.6136,1815.7959,,"Colorado","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"CT","total",0.8218,0.7972,2.3410,690.8586,59.6251,11.6412,695.7194,,"Connecticut","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"DC","total",4.2449,3.8698,9.9445,2781.7504,119.5481,23.9781,2791.6941,,"Washington DC","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"DE","total",2.6339,2.3313,7.9888,1803.7135,24.5793,25.7664,1812.2172,,"Delaware","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"FL","total",2.0175,1.9761,3.5676,1257.3385,41.0586,16.1678,1263.2128,,"Florida","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"GA","total",1.5552,1.0883,9.0558,1402.6864,19.8863,23.0879,1410.2613,,"Georgia","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"HI","total",4.7462,4.7382,7.8666,1543.9028,103.2865,21.1159,1552.6177,,"Hawaii","HI",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"IA","total",2.2977,2.1857,5.7467,1781.0966,20.9951,29.4716,1790.6737,,"Iowa","W",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"ID","total",0.1377,0.1172,0.2512,139.6522,13.4879,2.4895,140.7072,,"Idaho","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"IL","total",1.2252,0.8147,2.9050,1106.6122,12.9116,18.2270,1112.5337,,"Illinois","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"IN","total",3.0888,2.0477,11.0566,2051.4330,23.7717,34.0747,2062.4953,,"Indiana","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"KS","total",2.8138,2.6413,4.6203,1720.9144,20.0635,28.3494,1730.1241,,"Kansas","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"KY","total",3.6081,1.9260,7.8239,2095.3820,24.4724,35.3868,2106.8658,,"Kentucky","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"LA","total",1.3542,1.3794,1.9368,1082.6003,23.1439,11.6771,1086.7063,,"Louisiana","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"MA","total",1.0154,0.8596,3.7516,1199.0451,64.8438,16.3921,1205.4884,,"Massachusetts","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"MD","total",2.3051,1.6772,12.0455,1337.6397,32.9706,23.1549,1345.5101,,"Maryland","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"ME","total",1.1350,1.0752,1.8629,527.9359,195.7610,28.1447,540.7718,,"Maine","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
"MI","total",2.0381,1.6459,6.1754,1416.7936,28.3877,24.1056,1424.8624,,"Michigan","E",,"http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html"
