"country","massCO2PerEnergy","units","source"
"Algeria",0.6870173,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Argentina",0.4594823,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Armenia",0.4419807,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Australia",0.577393,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Austria",0.289643,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Azerbaijan",0.4961709,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bahrain",0.7989319,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bangladesh",0.5829783,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Belarus",0.2970419,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Belgium",0.306775,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bolivia",0.7434675,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bosnia-Herzegovina ",0.2869819,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Brazil",0.4506337,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Brunei Darussalam",0.8215231,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bulgaria",0.2444805,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Canada",0.398039,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Chile",0.4147501,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"China (including Hong Kong)",0.3972941,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Colombia",0.5346113,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Congo",0.572284,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
