"country","massCO2PerEnergy","units","source"
"Albania",1.1887423,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Algeria",0.9318883,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Angola",0.9883503,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Argentina",0.7159647,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Australia",1.143731,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Austria",0.383717,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Azerbaijan",0.5771245,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bahrain",1.2164738,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bangladesh",1.0968006,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Belarus",0.3624355,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Belgium",0.749373,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Benin",0.6962126,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bolivia",1.2750351,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bosnia and Herzegovina ",0.4737271,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Botswana",1.0261667,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Brazil",0.7277062,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Brunei Darussalam",0.7697273,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bulgaria",0.5751994,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Cambodia",1.0499949,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Cameroon",0.7156851,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Canada",0.709347,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Chile",0.8833,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"China (including Hong Kong)",0.6483217,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Colombia",0.8736186,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Democratic Republic of Congo",0.914,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Costa Rica",0.7720449,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Cote d'Ivoire",1.587,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Croatia ",0.5469311,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Cuba",1.0545942,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Cyprus",0.7582802,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Czech Republic",0.405724,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Denmark",0.39458,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Dominican Republic",0.6822341,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Ecuador",0.7046461,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Egypt",0.720433,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"El Salvador",0.4899132,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Eritrea",0.6955131,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Estonia",0.4082551,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Ethiopia",0.9526,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Finland",0.372362,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"France",0.574924,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gabon",0.701998,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Georgia",2.603125,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Germany",0.410963,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Ghana",0.8269975,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gibraltar",0.7304305,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Greece",0.69437,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Guatemala",0.8097297,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Haiti",0.581786,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Honduras",0.7372732,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Hong Kong",0.9790167,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Hungary",0.827216,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Iceland",0.7805,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"India",0.8646029,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Indonesia",0.6059276,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Iran",1.057278,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Iraq",0.7117639,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Ireland",0.824826,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Israel",0.7161296,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Italy",0.450605,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jamaica",0.8610971,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Japan",0.563054,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jordan",0.6749932,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Kazakhstan",0.4924585,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Kenya",1.0396289,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"North Korea",1.3780986,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"South Korea",0.41517,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Kuwait",0.6930992,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Latvia",0.3867135,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lebanon",0.7508394,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Libya",1.0775214,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lithuania",0.4627097,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Macedonia",0.391857,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Malaysia",0.6791459,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Malta",0.8340854,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Mexico",0.820861,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Moldova",0.3793981,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Mongolia",0.9061884,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Morocco",0.7963829,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Mozambique",0.7938333,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Myanmar",0.7972361,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Namibia",0.9993,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Nepal",1.0198,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Netherlands",0.402696,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Netherlands Antilles",0.7170685,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"New Zealand",0.679,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Nicaragua",0.7616867,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Nigeria",1.0015435,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Norway",0.321499,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Oman",0.976528,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Pakistan",0.749212,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Panama",0.5882172,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Peru",0.6493927,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Philippines",0.6634669,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Poland",0.509975,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Portugal",0.550305,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Romania",0.3893299,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Russia",0.382735,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Saudi Arabia",0.7463593,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Senegal",0.8707601,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Serbia",0.4269712,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Singapore",0.7072172,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Slovak Republic",0.402589,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Slovenia ",0.3960356,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Spain",0.602932,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sri Lanka",0.619987,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sudan",0.9101733,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sweden",0.331226,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Switzerland",0.368177,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Syria",0.776318,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Tanzania",1.4941765,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Thailand",0.7391057,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Togo",0.7981575,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Trinidad and Tobago",0.6350667,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Tunisia",0.8389695,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Turkey",0.73964,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Ukraine",0.9404108,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"United Arab Emirates",1.1942334,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"United Kingdom",0.573268,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"United States",0.78443,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Uruguay",0.8431738,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Uzbekistan",0.3975928,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Venezuela",0.7691486,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Vietnam",0.8701599,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Yemen",0.8230311,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Zambia",0.8473784,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Zimbabwe",2.1167917,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other Africa",0.8691945,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other Latin America",0.5962076,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Other Asia",0.6174795,"Dummy","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
