"fuel","netOrGross","unit","kgCO2PerUnit","kgCO2ePerUnitForCH4","kgCO2ePerUnitForN2O","units","source"
"aviation spirit","net","mass",3127.7,30.4,31.0,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"aviation spirit","net","energy",0.25023,0.00243,0.00248,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"aviation spirit","net","volume",2.2261,0.0216,0.0221,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"aviation turbine fuel","net","mass",3149.7,1.6,31.0,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"aviation turbine fuel","net","energy",0.25837,0.00013,0.00254,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"aviation turbine fuel","net","volume",2.5278,0.0013,0.0249,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"burning oil","net","mass",3149.7,6.7,8.6,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"burning oil","net","energy",0.25847,0.00055,0.00071,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"burning oil","net","volume",2.5319,0.0054,0.0069,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"coal (industrial)","net","mass",2301.0,0.1,36.9,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"coal (industrial)","net","energy",0.32415,0.00002,0.00520,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"coal (electricity generation)","net","mass",2256.5,0.4,19.5,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"coal (electricity generation)","net","energy",0.32637,0.00006,0.00282,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"coal (domestic)","net","mass",2506.3,329.7,37.8,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"coal (domestic)","net","energy",0.31139,0.04096,0.00470,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"coking coal","net","mass",2931.5,26.9,70.6,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"coking coal","net","energy",0.36423,0.00335,0.00877,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"diesel","net","mass",3164.3,2.3,34.0,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"diesel","net","energy",0.26328,0.00019,0.00283,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"diesel","net","volume",2.6391,0.0019,0.0283,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"fuel oil","net","mass",3215.9,2.4,11.2,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"fuel oil","net","energy",0.27927,0.00021,0.00097,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"gas oil","net","mass",3190.0,3.3,305.1,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"gas oil","net","energy",0.26542,0.00027,0.02539,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"gas oil","net","volume",2.7619,0.0028,0.2642,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"lpg","net","energy",0.22546,0.00009,0.00017,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"lpg","net","volume",1.4951,0.0006,0.0011,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"lubricants","net","mass",3171.1,1.9,8.5,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
"lubricants","net","energy",0.27537,0.00017,0.00074,"kgCO2/unit","http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls"
