"type","subtype","defaultCarbonContent","units","source"
"acetylene",,92.30,,"http://www.api.org/ehs/climate/response/index.cfm"
"asphalt and road oil",,83.47,,"http://www.api.org/ehs/climate/response/index.cfm; http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"aviation gas",,85.00,,"http://www.api.org/ehs/climate/response/index.cfm; http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"blendstocks","reformulated (RBOB)",86.60,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"blendstocks","conventional (CBOB)",85.60,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"blendstocks","other",84.00,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"butane",,82.80,,"http://www.api.org/ehs/climate/response/index.cfm"
"crude oil",,84.80,,"http://www.api.org/ehs/climate/response/index.cfm"
"distillate fuel oil","fuel oil #2",86.34,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"distillate fuel oil","fuel oil #4",86.47,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"distillate fuel oil","#5 (navy special)",85.81,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"distillate fuel oil","#6 (bunker c)",85.68,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"distillate fuel oil","diesel #2",86.34,,"http://www.api.org/ehs/climate/response/index.cfm; http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"distillate fuel oil","diesel #1",86.40,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"distillate fuel oil","diesel #4",86.47,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"distillate fuel oil","fuel oil #1",86.40,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"ethane",,80.00,,"http://www.api.org/ehs/climate/response/index.cfm; http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"ethylene",,85.71,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"fuel oil #4",,86.40,,"http://www.api.org/ehs/climate/response/index.cfm"
"isobutane",,82.80,,"http://www.api.org/ehs/climate/response/index.cfm; http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
"isobutylene",,85.71,,"http://www.epa.gov/climatechange/emissions/archived/downloads/tsd/TSD%20Petroleum%20Suppliers%20_EPA%203-9-09.pdf"
