fuel,basis,massCO2PerEnergy,massCH4PerEnergy,massN2OPerEnergy,massDirectCO2ePerEnergy,massIndirectCO2ePerEnergy,massTotalCO2ePerEnergy,units,source
aviation spirit,gross,0.23735,0.00244,0.00235,0.24214,0.04278,0.28492,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
aviation turbine fuel,gross,0.24542,0.00012,0.00242,0.24795,0.04564,0.29359,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
burning oil,gross,0.24562,0.00052,0.00067,0.24681,0.04564,0.29245,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
cng,gross,0.18322,0.00027,0.00011,0.1836,0.02704,0.21064,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
coal (industrial),gross,0.30383,0.00019,0.00596,0.30998,0.05318,0.36316,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
coal (electricity generation),gross,0.32232,0.00006,0.0028,0.32518,0.05318,0.37836,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
coal (domestic),gross,0.29582,0.03892,0.00446,0.3392,0.05318,0.39238,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
coking coal,gross,0.32636,0.00335,0.00781,0.33752,0.05318,0.3907,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
diesel,gross,0.24989,0.00012,0.00173,0.25174,0.04798,0.29972,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
diesel (retail station biofuel blend),gross,0.2407,0.0001,0.0017,0.2425,0.0511,0.2936,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
fuel oil,gross,0.26613,0.00023,0.00108,0.26744,0.04516,0.3126,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
gas oil,gross,0.25191,0.00027,0.02639,0.27857,0.04798,0.32655,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
lng,gross,0.18322,0.00027,0.00011,0.1836,0.06473,0.24833,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
lpg,gross,0.21419,0.00015,0.00033,0.21467,0.02689,0.24156,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
lubricants,gross,0.2627,0.00016,0.0007,0.26356,0.032,0.29556,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
naphtha,gross,0.23717,0.00021,0.00061,0.23798,0.03346,0.27144,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
natural gas,gross,0.18322,0.00027,0.00011,0.1836,0.01795,0.20155,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
other petroleum gas,gross,0.1863,0.00024,0.00493,0.19146,0.02269,0.21415,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
petrol,gross,0.23963,0.00035,0.00068,0.24066,0.04279,0.28345,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
petrol (retail station biofuel blend),gross,0.2351,0.0003,0.0007,0.2361,0.0444,0.2805,,http://www.defra.gov.uk/environment/economy/business-efficiency/reporting
