"fuel","netEnergyPerMass","grossEnergyPerMass","massPerVolume","volumePerMass","units","source"
"aviation spirit",45.07,47.44,707.2,1414,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"aviation turbine fuel",43.89,46.2,800.6,1249,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"burning oil",43.86,46.16,803.2,1245,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"coal (domestic)",28.98,30.5,850,1176,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"coal (electricity generation)",23.75,25,,,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"coal (industrial)",24.51,25.8,,,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"coking coal",30.97,32.6,,,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"diesel",42.85,45.59,836.8,1195,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"fuel oil",40.85,43.46,976.6,1024,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"gas oil",42.85,45.59,867.3,1153,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"lpg",45.96,49.23,508.1,1968,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"naphtha",45.15,47.53,699.8,1429,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"natural gas",47.73,53.09,0.7459,1340651,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"petrol",44.74,47.1,734.2,1362,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"biodiesel (me)",37.2,41.04,890,1124,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"biodiesel (btl or hvo)",44,46.32,780,1282,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"bioethanol",26.8,29.25,794,1259,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"bioetbe",36.3,39.62,750,1333,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"biogas",30,33.3,0.9626,1038840,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"biomethane",49,54.39,0.7263,1376907,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"cng",47.73,53.09,175,5714,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"grasses/straw",14.5,15.26,160,6250,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"lng",47.73,53.09,452.5,2210,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"wood chips",14,14.74,250,4000,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"wood logs",14.7,15.48,425,2353,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"wood pellets",17,17.9,650,1538,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"methane (ch4)",50,55.5,0.717,1394700,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"carbon dioxide (co2)",0,0,1.98,505051,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
