"type","context","massCH4PerEnergy","massN2OPerEnergy","units","source"
"coal","residential",316,1.6,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"coal","commercial",11,1.6,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"coal","industry",11,1.6,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"coal","electricity generation",1,1.6,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"petroleum","residential",11,0.6,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"petroleum","commercial",11,0.6,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"petroleum","industry",3,0.6,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"petroleum","electricity generation",3,0.6,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"natural gas","residential",5,0.1,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"natural gas","commercial",5,0.1,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"natural gas","industry",1,0.1,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"natural gas","electricity generation",1,0.1,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"wood","residential",316,4.2,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"wood","commercial",316,4.2,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"wood","industry",32,4.2,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"wood","electricity generation",32,4.2,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
"pulping liquors","industry",2.5,2.0,,"http://www.epa.gov/climateleaders/documents/resources/stationarycombustionguidance.pdf"
