type,subType,emissionSource,geographicContext,value,massCH4PerVolume,massN2OPerVolume,massCO2PerVolume,units,source
gas distribution,-,-,developing countries,upper,0.002500000,,0.000140000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas distribution,-,-,developing countries,mean,0.001800000,,0.000095500,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas distribution,-,-,developed countries,,0.001100000,,0.000051000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas distribution,-,-,developing countries,lower,0.001100000,,0.000051000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,deep-cut extraction plants,flaring,developed countries,,0.000000072,0.000000012,0.000110000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,deep-cut extraction plants,flaring,developing countries,mean,0.000000086,0.000000047,0.000130000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,deep-cut extraction plants,flaring,developing countries,upper,0.000000099,0.000000081,0.000150000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,deep-cut extraction plants,flaring,developing countries,lower,0.000000072,0.000000012,0.000110000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,deep-cut extraction plants,fugitive,developing countries,lower,0.000011000,,0.000001600,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,deep-cut extraction plants,fugitive,developing countries,upper,0.000024000,,0.000003700,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,deep-cut extraction plants,fugitive,developing countries,mean,0.000017500,,0.000002650,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,deep-cut extraction plants,fugitive,developed countries,,0.000011000,,0.000001600,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,default weighted total,flaring,developed countries,,0.000002000,0.000000033,0.003000000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,default weighted total,flaring,developing countries,lower,0.000002000,0.000000033,0.003000000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,default weighted total,flaring,developing countries,upper,0.000002800,0.000000045,0.004100000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,default weighted total,flaring,developing countries,mean,0.000002400,0.000000039,0.003550000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,default weighted total,fugitive,developed countries,mean,0.000590000,,0.000166000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,default weighted total,fugitive,developing countries,lower,0.000150000,,0.000012000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,default weighted total,fugitive,developing countries,upper,0.000350000,,0.000028000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,default weighted total,fugitive,developed countries,lower,0.000150000,,0.000012000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,default weighted total,fugitive,developed countries,upper,0.001030000,,0.000320000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,default weighted total,fugitive,developing countries,mean,0.000250000,,0.000020000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,default weighted total,raw CO2 venting,developed countries,,,,0.040000000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,default weighted total,raw CO2 venting,developing countries,upper,,,0.095000000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,default weighted total,raw CO2 venting,developing countries,mean,,,0.067500000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,default weighted total,raw CO2 venting,developing countries,lower,,,0.040000000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,sour gas plants,flaring,developing countries,upper,0.000003300,0.000000074,0.004900000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,sour gas plants,flaring,developing countries,lower,0.000002400,0.000000054,0.003600000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,sour gas plants,flaring,developing countries,mean,0.000002850,0.000000064,0.004250000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,sour gas plants,flaring,developed countries,,0.000002400,0.000000054,0.003600000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,sour gas plants,fugitive,developing countries,lower,0.000097000,,0.000007900,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,sour gas plants,fugitive,developing countries,mean,0.000158500,,0.000012950,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,sour gas plants,fugitive,developing countries,upper,0.000220000,,0.000018000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,sour gas plants,fugitive,developed countries,,0.000097000,,0.000009700,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
gas processing,sour gas plants,raw CO2 venting,developing countries,lower,,,0.063000000,,http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_4_Ch4_Fugitive_Emissions.pdf
