"feedstock","process","region","massCO2PerMass","massCH4PerMass","geographicAdjustmentFactor","units","source"
"naphtha","total feedstock","western europe",1.730,3.000,1.000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"gas oil","total feedstock","western europe",2.290,3.000,1.000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"ethane","total feedstock","western europe",0.950,6.000,1.000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"propane","total feedstock","western europe",1.040,3.000,1.000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"butane","total feedstock","western europe",1.070,3.000,1.000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"other","total feedstock","western europe",1.730,3.000,1.000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"naphtha","process only feedstock","western europe",1.730,3.000,1.000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"gas oil","process only feedstock","western europe",2.170,3.000,1.000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"ethane","process only feedstock","western europe",0.760,6.000,1.000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"propane","process only feedstock","western europe",1.040,3.000,1.000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"butane","process only feedstock","western europe",1.070,3.000,1.000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"other","process only feedstock","western europe",1.730,3.000,1.000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"naphtha","supplemental energy only feedstock","western europe",0.000,3.000,1.000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"gas oil","supplemental energy only feedstock","western europe",0.120,3.000,1.000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"ethane","supplemental energy only feedstock","western europe",0.190,6.000,1.000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"propane","supplemental energy only feedstock","western europe",0.000,3.000,1.000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"butane","supplemental energy only feedstock","western europe",0.000,3.000,1.000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"other","supplemental energy only feedstock","western europe",0.000,3.000,1.000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"naphtha","total feedstock","eastern europe",1.730,3.000,1.100,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"gas oil","total feedstock","eastern europe",2.290,3.000,1.100,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"ethane","total feedstock","eastern europe",0.950,6.000,1.100,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"propane","total feedstock","eastern europe",1.040,3.000,1.100,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"butane","total feedstock","eastern europe",1.070,3.000,1.100,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"other","total feedstock","eastern europe",1.730,3.000,1.100,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"naphtha","process only feedstock","eastern europe",1.730,3.000,1.100,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"gas oil","process only feedstock","eastern europe",2.170,3.000,1.100,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"ethane","process only feedstock","eastern europe",0.760,6.000,1.100,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
