"feedstock","process","processSubtype","massCO2PerMass","massCH4PerMass","energyPerMass","units","source"
"natural gas","conventional steam reforming","without primary reformer",0.6700,2.3000,35.5000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"default","default",,0.6700,2.3000,35.5000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"natural gas","conventional steam reforming","with primary reformer",0.4970,2.3000,33.4000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"natural gas","conventional steam reforming","Lurgi conventional",0.3850,2.3000,31.4000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"natural gas","conventional steam reforming","Lurgi low pressure",0.2670,2.3000,29.3000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"natural gas","conventional steam reforming","Lurgi combined",0.3960,2.3000,31.6000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"natural gas","conventional steam reforming","Lurgi mega methanol",0.3100,2.3000,30.1000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"oil","partial oxidation",,1.3760,2.3000,37.1500,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"coal","partial oxidation",,5.2850,2.3000,71.6000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"lignite","partial oxidation",,5.0200,2.3000,57.6000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
"natural gas","conventional steam reforming","with integrated ammonia production",0.4970,2.3000,,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/3_Volume3/V3_3_Ch3_Chemical_Industry.pdf"
