"productCategory","sicCode","kgCO2PerPound","kgCH4PerPound","kgN2OPerPound","kgHFCPerPound","kgPFCPerPound","kgSF6PerPound","units","source"
"agriculture products",1,0.654140564,1.147508742,1.474287749,0.010999833,0.000948749,0.000717886,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"forestry products",2,0.455832329,0.042236734,0.022522988,0.032326075,0.001180168,0.001045885,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"fish products",5,1.093615997,0.111038707,0.042389707,0.024880673,0.001402874,0.001487165,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"coal and lignite and peat",10,2.15292862,6.519437475,0.034451617,0.031361751,0.00297551,0.002734206,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"crude petroleum and natural gas",11,0.811636442,0.098763508,0.014893448,0.002305554,0.000478129,0.000496064,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"metal ores ",13,1.132274459,0.105471372,0.021044643,0.009449211,0.001309042,0.00136455,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"stone and sand and clay and other minerals",14,1.211768381,0.100604671,0.030462504,0.010247436,0.001456446,0.001350263,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"food and drink products",15,0.546367674,0.379655466,0.290443109,0.007915553,0.000977997,0.000904489,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"tobacco products",16,0.073803033,0.046178342,0.04000007,0.002884296,0.000203906,0.000191998,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"textiles",17,0.329196343,0.031007386,0.017538545,0.005931447,0.000623741,0.000513281,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"wearing apparel",18,0.252585713,0.036093645,0.021409776,0.0062252,0.000589463,0.000471705,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"leather products, footwear",19,0.249290736,0.074015179,0.050421794,0.007860205,0.00035,0.000191718,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"wood and wood products",20,0.878473727,0.060122486,0.019401784,0.012978227,0.001682772,0.001628865,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"pulp and paper products",21,0.6947852,0.048653441,0.015827611,0.007905419,0.000792828,0.000803705,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"printing matter and related services",22,0.348908786,0.030737291,0.011695327,0.006540306,0.000697485,0.000633357,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"refined petroleum and coke and other fuels",23,0.967936276,0.1874188,0.012510773,0.003862848,0.00045384,0.000433573,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"industrial gases and dyes","24.11 and 24.12",1.385636151,0.08661809,0.033988683,0.023917948,0.003001965,0.001613496,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"inorganic chemicals",24.13,1.062466772,0.091421291,0.034930484,0.024075772,0.004184957,0.002103543,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"organic chemicals",24.14,1.105969795,0.104999552,0.090204254,0.060828649,0.011750244,0.00165443,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"fertilisers",24.15,1.890066216,0.111485258,1.705303352,0.034219895,0.00176639,0.001279417,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"plastics _AMPERSAND_ synthetic resins etc","24.16 and 24.17",1.279973219,0.108000987,0.068087155,0.044551752,0.006864402,0.001646376,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"pesticides",24.2,0.938469699,0.093331306,0.036973768,0.040868724,0.004769913,0.001631029,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"paints and varnishes and printing ink etc",24.3,0.523396662,0.049788087,0.030844243,0.022077836,0.002081763,0.000926577,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"pharmaceuticals",24.4,0.489177702,0.046038317,0.027049117,0.022599347,0.001706388,0.000937876,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"soap and toilet preparations",24.5,0.336520798,0.031397821,0.018494646,0.013481694,0.001468043,0.000644191,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"other chemical products",24.6,0.799671578,0.072971905,0.047898296,0.033900775,0.005119811,0.002183501,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"man-made fibres",24.7,1.800798522,0.132082888,0.067252189,0.05990803,0.004260268,0.001717258,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"rubber products",25.1,0.804983734,0.054640587,0.029703709,0.027091495,0.002208592,0.001814865,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"plastic products",25.2,1.001156407,0.067669313,0.036221245,0.050436717,0.002783581,0.002262124,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"glass and glass products",26.1,1.180123803,0.063794458,0.017649145,0.011933106,0.001575206,0.001687651,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"ceramic goods","26.2 and 26.3",0.636968793,0.04274741,0.01425923,0.011372791,0.001740433,0.001932171,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"structural clay products",26.4,1.119394355,0.082340613,0.011165925,0.01610053,0.000683768,0.000919487,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"cement, lime and plaster",26.5,6.209446837,0.786615132,0.04593484,0.014692218,0.001110358,0.001516904,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"articles of concrete and stone etc","26.6 to 26.8",1.402482455,0.128962213,0.025691873,0.011978809,0.001658783,0.001723342,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"iron and steel","27.1 to 27.3",3.274441946,0.10525736,0.032658215,0.012748283,0.00602735,0.006686243,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"non-ferrous metals",27.4,2.209339061,0.093235561,0.036072305,0.02881029,0.058262483,0.061582304,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"metal castings",27.5,1.375506302,0.075146446,0.021488816,0.021647426,0.015334922,0.036452844,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"metal products",28,1.212351909,0.057570684,0.017707626,0.011598578,0.00883194,0.009345003,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"machinery and equipment",29,0.727684678,0.044458877,0.015450832,0.013764675,0.006191099,0.006343897,"none","http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
