"material","type","subtype","embodiedEnergyPerMass","massEmbodiedCO2PerMass","boundary","units","source"
"aggregate",,,0.1,0.005,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"aluminium","general","uk typical",155,8.24,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"aluminium","general","primary",218,11.5,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"aluminium","general","secondary",28.8,1.69,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"aluminium","cast products","uk typical",159,8.28,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"aluminium","cast products","primary",225.5,11.7,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"aluminium","cast products","secondary",24.5,1.35,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"aluminium","extruded","uk typical",154,8.16,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"aluminium","extruded","primary",213.5,11.2,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"aluminium","extruded","secondary",34.1,1.98,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"aluminium","rolled","uk typical",155,8.26,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"aluminium","rolled","primary",217,11.5,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"aluminium","rolled","secondary",27.8,1.67,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"asphalt","general",,2.6,0.045,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"asphalt","roads &amp; pavements",,2.41,0.14,"40 year life time",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"general bitumen",,,47,0.48,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"brass","general",,44,2.42,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"brass","primary",,80,4.39,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"brass","secondary",,20,1.1,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"carpets","general",,74.4,3.89,"Cradle to grave",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"carpets","felt (hair &amp; jute) underlay",,18.6,0.96,"Cradle to grave",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"carpets","nylon","maximum value",149,7.31,"Cradle to grave",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"carpets","nylon","minimum value",67.9,3.55,"Cradle to grave",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"carpets","polyethylterepthalate (PET)",,106.5,5.55,"Cradle to grave",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"carpets","polypropylene",,95.4,5.03,"Cradle to grave",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"carpets","polyurethane",,72.1,3.76,"Cradle to grave",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"carpets","rubber","maximum value",140,8.11,"Cradle to grave",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"carpets","rubber","minimum value",67.5,3.91,"Cradle to grave",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"carpets","saturated felt underlay (impregnated with asphalt or tar)",,31.7,1.7,"Cradle to grave",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"carpets","wool",,106,5.48,"Cradle to grave",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"cement","general",,4.6,0.83,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"cement","general","25% fly ash",3.52,0.62,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"cement","general","50% fly ash",2.43,0.42,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"cement","general","25% blast furnace slag",3.81,0.64,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"cement","general","50% blast furnace slag",3.01,0.45,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"cement","fibre cement",,10.9,2.11,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"cement","mortar","1 : 3 cement : sand mix",1.55,0.213,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"cement","mortar","1 : 4 cement : sand mix",1.34,0.177,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"cement","mortar","1 : 6 cement : sand mix",0.99,0.136,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"cement","mortar","1 : 1.5 : 4.5 cement : lime : sand mix",1.48,0.196,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"cement","mortar","1 : 1 : 6 cement : lime : sand mix",1.27,0.163,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"cement","mortar","1 : 2 : 9 cement : lime : sand mix",1.16,0.143,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"cement","soil-cement",,0.85,0.14,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"ceramics","general",,10,0.65,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"ceramics","fittings",,20,1.05,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"ceramics","refractory products",,5.5,0.51,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"ceramics","sanitary products",,29,1.48,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"ceramics","tile",,9,0.59,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
"clay","general simple baked clay products",,3,0.22,"Cradle to gate",,"http://www.bath.ac.uk/mech-eng/sert/embodied"
