"material","type","subtype","energyPerMass","massCO2PerMass","massCO2ePerMass","boundary","note","units","source"
"Aggregate","General","Gravel or crushed rock",0.083,0.005,0.005,"Cradle to gate","Estimated from measured UK industrial fuel consumption data",,"http://people.bath.ac.uk/cj219/"
"Aluminium","Cast products","Average",159.335,8.285,9.220,"Cradle to gate","Worldwide average recycled content of 33%.",,"http://people.bath.ac.uk/cj219/"
"Aluminium","Cast products","Recycled",25.000,1.350,1.450,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Aluminium","Cast products","Virgin",225.500,11.700,13.100,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Aluminium","Extruded","Average",154.265,8.157,9.080,"Cradle to gate","Worldwide average recycled content of 33%.",,"http://people.bath.ac.uk/cj219/"
"Aluminium","Extruded","Recycled",34.000,1.980,2.120,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Aluminium","Extruded","Virgin",213.500,11.200,12.500,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Aluminium","General","Average",155.000,8.236,9.160,"Cradle to gate","Assumed (UK) ratio of 25.6% extrusions, 55.7% Rolled and 18.7% castings. Worldwide average recycled content of 33%.",,"http://people.bath.ac.uk/cj219/"
"Aluminium","General","Recycled",29.000,1.690,1.810,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Aluminium","General","Virgin",217.694,11.461,12.790,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Aluminium","Rolled","Average",155.000,8.256,9.180,"Cradle to gate","Worldwide average recycled content of 33%.",,"http://people.bath.ac.uk/cj219/"
"Aluminium","Rolled","Recycled",28.000,1.670,1.790,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Aluminium","Rolled","Virgin",217.000,11.500,12.800,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Asbestos",,,7.400,,,"Not specified","Ref. 4.",,"http://people.bath.ac.uk/cj219/"
"Asphalt","4% binder content by mass",,2.860,0.059,0.066,"Cradle to gate","1.68 MJ/kg Feedstock Energy (Included). Modelled from the bitumen binder content. The fuel consumption of asphalt mixing operations was taken from the Mineral Products Association (MPA). It represents typical UK industrial data.",,"http://people.bath.ac.uk/cj219/"
"Asphalt","5% binder content by mass",,3.390,0.064,0.071,"Cradle to gate","2.10 MJ/kg Feedstock Energy (Included). Modelled from the bitumen binder content. The fuel consumption of asphalt mixing operations was taken from the Mineral Products Association (MPA). It represents typical UK industrial data.",,"http://people.bath.ac.uk/cj219/"
"Asphalt","6% binder content by mass",,3.930,0.068,0.076,"Cradle to gate","2.52 MJ/kg Feedstock Energy (Included). Modelled from the bitumen binder content. The fuel consumption of asphalt mixing operations was taken from the Mineral Products Association (MPA). It represents typical UK industrial data.",,"http://people.bath.ac.uk/cj219/"
"Asphalt","7% binder content by mass",,4.460,0.072,0.081,"Cradle to gate","2.94 MJ/kg Feedstock Energy (Included). Modelled from the bitumen binder content. The fuel consumption of asphalt mixing operations was taken from the Mineral Products Association (MPA). It represents typical UK industrial data.",,"http://people.bath.ac.uk/cj219/"
"Asphalt","8% binder content by mass",,5.000,0.076,0.086,"Cradle to gate","3.36 MJ/kg Feedstock Energy (Included). Modelled from the bitumen binder content. The fuel consumption of asphalt mixing operations was taken from the Mineral Products Association (MPA). It represents typical UK industrial data.",,"http://people.bath.ac.uk/cj219/"
"Bitumen","General","Lower",51.000,0.380,0.430,"Cradle to gate","42 MJ/kg Feedstock Energy  (Included).  Feedstock assumed to be typical energy content of Bitumen. Carbon dioxide emissions are particularly difficult to estimate; range given.",,"http://people.bath.ac.uk/cj219/"
"Bitumen","General","Mean",51.000,0.405,0.490,"Cradle to gate","42 MJ/kg Feedstock Energy  (Included).  Feedstock assumed to be typical energy content of Bitumen. Carbon dioxide emissions are particularly difficult to estimate; range given.",,"http://people.bath.ac.uk/cj219/"
"Bitumen","General","Upper",51.000,0.430,0.550,"Cradle to gate","42 MJ/kg Feedstock Energy  (Included).  Feedstock assumed to be typical energy content of Bitumen. Carbon dioxide emissions are particularly difficult to estimate; range given.",,"http://people.bath.ac.uk/cj219/"
"Brass","General","Average",44.000,2.460,2.640,"Cradle to gate","Poor data availability. It is believed that the data may be largely dependent upon ore grade.  Poor carbon data making estimate of embodied carbon difficult.",,"http://people.bath.ac.uk/cj219/"
"Brass","General","Recycled",20.000,1.120,1.200,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Brass","General","Virgin",80.000,4.470,4.800,"Cradle to gate",,,"http://people.bath.ac.uk/cj219/"
"Bricks","General","Common Brick",3.000,0.230,0.240,"Cradle to gate","Assuming 2.3 kg per brick.",,"http://people.bath.ac.uk/cj219/"
