"type","energyPerMass","massCO2PerMass","massCO2ePerMass","massBioCO2PerMass","boundary","note","units","source"
"General",10.00,0.30,0.31,0.41,"Cradle to gate","Estimated from UK consumption mixture of timber products in 2007 (Timber Trade Federation statistics). Includes 4.3 MJ bio-energy. All values do not include the CV of timber product and exclude carbon storage.",,"http://people.bath.ac.uk/cj219/"
"Glue laminated timber",12.00,0.39,0.42,0.45,"Cradle to gate","Includes 4.9 MJ bio-energy.",,"http://people.bath.ac.uk/cj219/"
"Hardboard",16.00,0.54,0.58,0.51,"Cradle to gate","Hardboard is a type of fibreboard with a density above 800 kg/m3. Includes 5.6 MJ bio-energy.",,"http://people.bath.ac.uk/cj219/"
"Laminated veneer lumber",9.50,0.31,0.33,0.32,"Cradle to gate","Ref 150. Includes 3.5 MJ bio-energy.",,"http://people.bath.ac.uk/cj219/"
"MDF",11.00,0.37,0.39,0.35,"Cradle to gate","Wide density range (350-800 kg/m3). Includes 3.8 MJ bio-energy.",,"http://people.bath.ac.uk/cj219/"
"Oriented Strand Board (OSB)",15.00,0.42,0.45,0.54,"Cradle to gate","Estimated from Refs. 103 and 150. Includes 5.9 MJ bio-energy.",,"http://people.bath.ac.uk/cj219/"
"Particle board",14.50,0.52,0.54,0.32,"Cradle to gate","Very large data range, difficult to select appropriate values. Modified from CORRIM reports. Includes 3.2 MJ bio-energy (uncertain estimate).",,"http://people.bath.ac.uk/cj219/"
"Plywood",15.00,0.42,0.45,0.65,"Cradle to gate","Includes 7.1 MJ bio-energy.",,"http://people.bath.ac.uk/cj219/"
"Sawn hardwood",10.40,0.23,0.24,0.63,"Cradle to gate","It was difficult to select values for hardwood, the data was estimated from the CORRIM studies (Ref. 88). Includes 6.3 MJ bio-energy.",,"http://people.bath.ac.uk/cj219/"
"Sawn softwood",7.40,0.19,0.20,0.39,"Cradle to gate","Includes 4.2 MJ bio-energy.",,"http://people.bath.ac.uk/cj219/"
"Veneer particleboard (furniture)",23.00,,,0.00,"Cradle to gate","Unknown split of fossil based and biogenic fuels.",,"http://people.bath.ac.uk/cj219/"
