"type","glazing","basis","energyPerWindow","massCO2PerWindow","boundary","note","units","source"
"Timber","Single",,286.00,14.60,"Not specified","Embodied carbon estimated from typical UK industrial fuel mix. Based on 1.2m x 1.2m unit",,"http://people.bath.ac.uk/cj219/"
"Aluminium","Double",,5470.00,279.00,"Not specified","Embodied carbon estimated from typical UK industrial fuel mix. Based on 1.2m x 1.2m unit",,"http://people.bath.ac.uk/cj219/"
"PVC","Double","Upper",2470.00,126.00,"Not specified","Embodied carbon estimated from typical UK industrial fuel mix. Based on 1.2m x 1.2m unit",,"http://people.bath.ac.uk/cj219/"
"PVC","Double","Lower",2150.00,110.00,"Not specified","Embodied carbon estimated from typical UK industrial fuel mix. Based on 1.2m x 1.2m unit",,"http://people.bath.ac.uk/cj219/"
"PVC","Double","Mean",2310.00,118.00,"Not specified","Embodied carbon estimated from typical UK industrial fuel mix. Based on 1.2m x 1.2m unit",,"http://people.bath.ac.uk/cj219/"
"Aluminium-clad timber","Double","Upper",1460.00,75.00,"Not specified","Embodied carbon estimated from typical UK industrial fuel mix. Based on 1.2m x 1.2m unit",,"http://people.bath.ac.uk/cj219/"
"Aluminium-clad timber","Double","Lower",950.00,48.00,"Not specified","Embodied carbon estimated from typical UK industrial fuel mix. Based on 1.2m x 1.2m unit",,"http://people.bath.ac.uk/cj219/"
"Aluminium-clad timber","Double","Mean",1205.00,61.50,"Not specified","Embodied carbon estimated from typical UK industrial fuel mix. Based on 1.2m x 1.2m unit",,"http://people.bath.ac.uk/cj219/"
"Timber","Double","Upper",490.00,25.00,"Not specified","Embodied carbon estimated from typical UK industrial fuel mix. Based on 1.2m x 1.2m unit",,"http://people.bath.ac.uk/cj219/"
"Timber","Double","Lower",230.00,12.00,"Not specified","Embodied carbon estimated from typical UK industrial fuel mix. Based on 1.2m x 1.2m unit",,"http://people.bath.ac.uk/cj219/"
"Timber","Double","Mean",360.00,18.50,"Not specified","Embodied carbon estimated from typical UK industrial fuel mix. Based on 1.2m x 1.2m unit",,"http://people.bath.ac.uk/cj219/"
