"companyName","brandName","model","series","energyPerTime","units","source"
"Apex Digital","APEX DIGITAL","LD3249","LD3249",153,"kWh/year","energystar.gov"
"BenQ","BenQ","MK24**","MK24**",88,"kWh/year","energystar.gov"
"BenQ","BenQ","SE22**","SE22**",72,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Dynex","DX-L15-10A","DX-L15-10A",49,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Dynex","DX-L15-10C","DX-L15-10C",52,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Dynex","DX-L19-10A","DX-L19-10A",56,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Dynex","DX-L19-10C","DX-L19-10C",57,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Dynex","DX-L22-10A","DX-L22-10A",82,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Dynex","DX-L22-10C","DX-L22-10C",82,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Dynex","DX-L26-10A","DX-L26-10A",144,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Dynex","DX-L26-10C","DX-L26-10C",114,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Dynex","DX-L32-10A","DX-L32-10A",154,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Dynex","DX-L32-10C","DX-L32-10C",153,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Dynex","DX-L321-10A","DX-L321-10A",205,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Dynex","DX-L37-10A","DX-L37-10A",230,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Dynex","DX-L42-10A","DX-L42-10A",271,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Dynex","DX-LCD19-09","DX-LCD19-09",81,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Dynex","DX-LDVD22-10A","DX-LDVD22-10A",113,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Insignia","Insignia 15","NS-LCD15-09MX ",46,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Insignia","Insignia 15","NS-LCD15-09",46,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Insignia","Insignia 19","NS-LCD19W-09",86,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Insignia","Insignia 19","NS-LCD19-09MX ",81,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Insignia","Insignia 32","NS-LCD32-09",205,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Insignia","Insignia 37","NS-LCD37-09",262,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Insignia","NS-L19Q-10A","NS-L19Q-10A",74,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Insignia","NS-L19W1Q-10A","NS-L19W1Q-10A",74,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Insignia","NS-L19W2Q-10A","NS-L19W2Q-10A",60,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Insignia","NS-L19X-10A","NS-L19X-10A",48,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Insignia","NS-L22Q-10A","NS-L22Q-10A",82,"kWh/year","energystar.gov"
"Best Buy Corp. - Exclusive Brands","Insignia","NS-L22X-10A","NS-L22X-10A",88,"kWh/year","energystar.gov"
