"brand","model","energyPerTime","units","source"
"Amana","NAH6800",243,"kWh/year","www.energystar.gov"
"Amana","NFW7200TW",216,"kWh/year","www.energystar.gov"
"Amana","NFW7400V*+",150,"kWh/year","www.energystar.gov"
"Amana","NFW7500V*+",187,"kWh/year","www.energystar.gov"
"Appliance Desk","AD 1720",141,"kWh/year","www.energystar.gov"
"Appliance Desk","AD 3720",141,"kWh/year","www.energystar.gov"
"Appliance Desk","ADW 620",141,"kWh/year","www.energystar.gov"
"Ariston","AW120",143,"kWh/year","www.energystar.gov"
"Ariston","AW129",190,"kWh/year","www.energystar.gov"
"Ariston","AW149",190,"kWh/year","www.energystar.gov"
"Ariston","AWD120",143,"kWh/year","www.energystar.gov"
"Ariston","AWD129",168,"kWh/year","www.energystar.gov"
"Asko","W6022",100,"kWh/year","www.energystar.gov"
"Asko","W6222",100,"kWh/year","www.energystar.gov"
"Asko","W6461",127,"kWh/year","www.energystar.gov"
"Asko","W6761",189,"kWh/year","www.energystar.gov"
"Asko","W6903FI",130,"kWh/year","www.energystar.gov"
"Asko","WCAM1812",217,"kWh/year","www.energystar.gov"
"Asko","WL6511",185,"kWh/year","www.energystar.gov"
"Blomberg","WM 67121 NBL00",149,"kWh/year","www.energystar.gov"
"Bosch","WAS20160UC",125,"kWh/year","www.energystar.gov"
"Bosch","WAS24460UC",130,"kWh/year","www.energystar.gov"
"Bosch","WFL2090UC",121,"kWh/year","www.energystar.gov"
"Bosch","WFMC220*UC",165,"kWh/year","www.energystar.gov"
"Bosch","WFMC4301UC",182,"kWh/year","www.energystar.gov"
"Bosch","WFMC5301UC",151,"kWh/year","www.energystar.gov"
"Bosch","WFMC530CUC",151,"kWh/year","www.energystar.gov"
"Bosch","WFMC530SUC",151,"kWh/year","www.energystar.gov"
"Bosch","WFMC5440UC",150,"kWh/year","www.energystar.gov"
"Bosch","WFMC544SUC",150,"kWh/year","www.energystar.gov"
"Bosch","WFMC5801UC",150,"kWh/year","www.energystar.gov"
"Bosch","WFMC8400UC",151,"kWh/year","www.energystar.gov"
"Bosch","WFMC8401UC",151,"kWh/year","www.energystar.gov"
"Bosch","WFMC8440UC",150,"kWh/year","www.energystar.gov"
"Bosch","WFVC3300UC",130,"kWh/year","www.energystar.gov"
"Bosch","WFVC5400UC",130,"kWh/year","www.energystar.gov"
"Bosch","WFVC540SUC",130,"kWh/year","www.energystar.gov"
"Bosch","WFVC5440UC",130,"kWh/year","www.energystar.gov"
"Bosch","WFVC544AUC",130,"kWh/year","www.energystar.gov"
"Bosch","WFVC6450UC",130,"kWh/year","www.energystar.gov"
"Bosch","WFVC8440UC",130,"kWh/year","www.energystar.gov"
"Conserv","CS 1720",141,"kWh/year","www.energystar.gov"
"Conserv","CS 3720",141,"kWh/year","www.energystar.gov"
"Conserv","CSW 620",141,"kWh/year","www.energystar.gov"
"Crosley","CAH4205",243,"kWh/year","www.energystar.gov"
"Crosley","CFW2000F",126,"kWh/year","www.energystar.gov"
"Crosley","CFW4000F",202,"kWh/year","www.energystar.gov"
"Crosley","CFW5000F",179,"kWh/year","www.energystar.gov"
"Crosley","CFW8000",185,"kWh/year","www.energystar.gov"
"Crosley","CLCE900F",165,"kWh/year","www.energystar.gov"
"Crosley","CLCG900F",165,"kWh/year","www.energystar.gov"
"Danby Designer","DWM5500W-1",154,"kWh/year","www.energystar.gov"
"Deco","DC 1720",141,"kWh/year","www.energystar.gov"
"Deco","DC 3720",141,"kWh/year","www.energystar.gov"
"Deco","DCW 620",141,"kWh/year","www.energystar.gov"
"Electrolux","EIFLW55H",243,"kWh/year","www.energystar.gov"
"Electrolux","EIFLW55I",243,"kWh/year","www.energystar.gov"
"Electrolux","EWFLW65H",256,"kWh/year","www.energystar.gov"
"Electrolux","EWFLW65I",256,"kWh/year","www.energystar.gov"
"Equator","EW 620",141,"kWh/year","www.energystar.gov"
"Equator","EZ 1612 V",135,"kWh/year","www.energystar.gov"
"Equator","EZ 1720 V",141,"kWh/year","www.energystar.gov"
"Equator","EZ 2512 CEE",125,"kWh/year","www.energystar.gov"
"Equator","EZ 3612 CEE",143,"kWh/year","www.energystar.gov"
"Equator","EZ 3720 CEE",141,"kWh/year","www.energystar.gov"
"Eurotech","EWC177",217,"kWh/year","www.energystar.gov"
"Eurotech","EWF272EL",212,"kWh/year","www.energystar.gov"
"Fagor","FA-5812",193,"kWh/year","www.energystar.gov"
"Fagor","FA-5812 X",193,"kWh/year","www.energystar.gov"
"Fisher & Paykel","GWL15",198,"kWh/year","www.energystar.gov"
"Fisher & Paykel","IWL16",219,"kWh/year","www.energystar.gov"
"Fisher & Paykel","WA37T26*W2",198,"kWh/year","www.energystar.gov"
"Fisher & Paykel","WA37T26G",220,"kWh/year","www.energystar.gov"
"Fisher & Paykel","WA37TG1",220,"kWh/year","www.energystar.gov"
"Fisher & Paykel","WL26CW1",211,"kWh/year","www.energystar.gov"
"Fisher & Paykel","WL26CW2",199,"kWh/year","www.energystar.gov"
"Fisher & Paykel","WL37T26*W2",175,"kWh/year","www.energystar.gov"
"Fisher & Paykel","WL37T26C",199,"kWh/year","www.energystar.gov"
"Fisher & Paykel","WL37T26D",199,"kWh/year","www.energystar.gov"
"Fisher & Paykel","WL37TD1",199,"kWh/year","www.energystar.gov"
"Frigidaire","ATF6000F",179,"kWh/year","www.energystar.gov"
"Frigidaire","ATF6500G",179,"kWh/year","www.energystar.gov"
"Frigidaire","ATF6700F",179,"kWh/year","www.energystar.gov"
"Frigidaire","ATF7000F",203,"kWh/year","www.energystar.gov"
"Frigidaire","ATF8000F",203,"kWh/year","www.energystar.gov"
"Frigidaire","ATFB6000F",179,"kWh/year","www.energystar.gov"
"Frigidaire","ATFB6700F",179,"kWh/year","www.energystar.gov"
"Frigidaire","ATFB7000F",203,"kWh/year","www.energystar.gov"
"Frigidaire","FAFW3511K",171,"kWh/year","www.energystar.gov"
"Frigidaire","FAFW3517K",182,"kWh/year","www.energystar.gov"
"Frigidaire","FAFW3574K",210,"kWh/year","www.energystar.gov"
"Frigidaire","FAFW3577K",175,"kWh/year","www.energystar.gov"
"Frigidaire","FTF2140F",202,"kWh/year","www.energystar.gov"
"Frigidaire","FTF5000H",196,"kWh/year","www.energystar.gov"
"Frigidaire","FTF530F",126,"kWh/year","www.energystar.gov"
"Frigidaire","FTFB4000G",202,"kWh/year","www.energystar.gov"
"Frigidaire","GLEH1642F",165,"kWh/year","www.energystar.gov"
"Frigidaire","GLGH1642F",165,"kWh/year","www.energystar.gov"
"Frigidaire","GLTF1570F",210,"kWh/year","www.energystar.gov"
"Frigidaire","GLTF2940F",196,"kWh/year","www.energystar.gov"
"Frigidaire","GLTF2940K",196,"kWh/year","www.energystar.gov"
"Frigidaire","GLTR1670F",210,"kWh/year","www.energystar.gov"
"Frigidaire","LAFW3511K",171,"kWh/year","www.energystar.gov"
"Frigidaire","LAFW3574K",210,"kWh/year","www.energystar.gov"
"Frigidaire","LTF2140F",202,"kWh/year","www.energystar.gov"
"Frigidaire","LTF2140H",202,"kWh/year","www.energystar.gov"
"Frigidaire","LTF2940F",196,"kWh/year","www.energystar.gov"
"Frigidaire","LTF6700F",179,"kWh/year","www.energystar.gov"
"Frigidaire","LTF7000F",203,"kWh/year","www.energystar.gov"
"Frigidaire","LTF8000F",196,"kWh/year","www.energystar.gov"
"Galaxy","GX 1720",141,"kWh/year","www.energystar.gov"
"Galaxy","GX 3720",141,"kWh/year","www.energystar.gov"
"Galaxy","GXW 620",141,"kWh/year","www.energystar.gov"
"General Electric","EWA5600K",229,"kWh/year","www.energystar.gov"
"General Electric","WBVH5100H",120,"kWh/year","www.energystar.gov"
"General Electric","WBVH5200J",142,"kWh/year","www.energystar.gov"
"General Electric","WBVH5300K",131,"kWh/year","www.energystar.gov"
"General Electric","WBVH6240F",239,"kWh/year","www.energystar.gov"
"General Electric","WBVH6240H",122,"kWh/year","www.energystar.gov"
"General Electric","WCRE6270K",221,"kWh/year","www.energystar.gov"
"General Electric","WCVH4800****",122,"kWh/year","www.energystar.gov"
"General Electric","WCVH4815****",122,"kWh/year","www.energystar.gov"
"General Electric","WCVH6260F",239,"kWh/year","www.energystar.gov"
"General Electric","WCVH6260H",122,"kWh/year","www.energystar.gov"
"General Electric","WCVH6400J",142,"kWh/year","www.energystar.gov"
"General Electric","WCVH6600H",142,"kWh/year","www.energystar.gov"
"General Electric","WCVH6800J",142,"kWh/year","www.energystar.gov"
"General Electric","WCVH6800K",142,"kWh/year","www.energystar.gov"
"General Electric","WHDVH626F",239,"kWh/year","www.energystar.gov"
"General Electric","WHDVH626H",122,"kWh/year","www.energystar.gov"
"General Electric","WHDVH660H",142,"kWh/year","www.energystar.gov"
"General Electric","WHDVH680J",142,"kWh/year","www.energystar.gov"
"General Electric","WHRE5550K",221,"kWh/year","www.energystar.gov"
"General Electric","WJRE5550K",221,"kWh/year","www.energystar.gov"
"General Electric","WPDH8800J",191,"kWh/year","www.energystar.gov"
"General Electric","WPDH8850J",191,"kWh/year","www.energystar.gov"
"General Electric","WPDH8900J",191,"kWh/year","www.energystar.gov"
"General Electric","WPDH8910K",191,"kWh/year","www.energystar.gov"
