"brand","model","energyPerTime","units","source"
"AEG-Electrolux","F45078I-M",320,"kWh/year","www.energystar.gov"
"AEG-Electrolux","F65478VI-S",316,"kWh/year","www.energystar.gov"
"AEG-Electrolux","F89078VI-M",321,"kWh/year","www.energystar.gov"
"AEG-Electrolux","F89078VI-S",321,"kWh/year","www.energystar.gov"
"Aga","ADW-24***",315,"kWh/year","www.energystar.gov"
"Amana","ADB1000AW**",310,"kWh/year","www.energystar.gov"
"Amana","ADB1500",334,"kWh/year","www.energystar.gov"
"Amana","ADB2500",334,"kWh/year","www.energystar.gov"
"Amana","ADB3500",334,"kWh/year","www.energystar.gov"
"Americana","ADW11**N",330,"kWh/year","www.energystar.gov"
"Ariston","L63*",270,"kWh/year","www.energystar.gov"
"Ariston","LI640*",270,"kWh/year","www.energystar.gov"
"Ariston","LI670*",270,"kWh/year","www.energystar.gov"
"Ariston","LI700*",270,"kWh/year","www.energystar.gov"
"Ariston","LL64*",270,"kWh/year","www.energystar.gov"
"Ariston","LL65*",270,"kWh/year","www.energystar.gov"
"Asko","D3112",278,"kWh/year","www.energystar.gov"
"Asko","D3121**",278,"kWh/year","www.energystar.gov"
"Asko","D3122**",247,"kWh/year","www.energystar.gov"
"Asko","D3152",242,"kWh/year","www.energystar.gov"
"Asko","D3232",278,"kWh/year","www.energystar.gov"
"Asko","D3232Encore",247,"kWh/year","www.energystar.gov"
"Asko","D3250",285,"kWh/year","www.energystar.gov"
"Asko","D3251",242,"kWh/year","www.energystar.gov"
"Asko","D3251FI",231,"kWh/year","www.energystar.gov"
"Asko","D3251HD",231,"kWh/year","www.energystar.gov"
"Asko","D3251XLFI",231,"kWh/year","www.energystar.gov"
"Asko","D3251XLHD",231,"kWh/year","www.energystar.gov"
"Asko","D3252",242,"kWh/year","www.energystar.gov"
"Asko","D3252**",231,"kWh/year","www.energystar.gov"
"Asko","D3331**",247,"kWh/year","www.energystar.gov"
"Asko","D3350",285,"kWh/year","www.energystar.gov"
"Asko","D3432",247,"kWh/year","www.energystar.gov"
"Asko","D3432**",242,"kWh/year","www.energystar.gov"
"Asko","D3450",285,"kWh/year","www.energystar.gov"
"Asko","D3451**",231,"kWh/year","www.energystar.gov"
"Asko","D3531",194,"kWh/year","www.energystar.gov"
"Asko","D3531XLFI",194,"kWh/year","www.energystar.gov"
"Asko","D3531XLHD",194,"kWh/year","www.energystar.gov"
"Asko","D3532",194,"kWh/year","www.energystar.gov"
"Asko","D3731",247,"kWh/year","www.energystar.gov"
"Asko","D5110",252,"kWh/year","www.energystar.gov"
"Asko","D5110XXLB",252,"kWh/year","www.energystar.gov"
"Asko","D5110XXLQ",252,"kWh/year","www.energystar.gov"
"Asko","D5110XXLS",252,"kWh/year","www.energystar.gov"
"Asko","D5110XXLW",252,"kWh/year","www.energystar.gov"
"Asko","D5122",259,"kWh/year","www.energystar.gov"
"Asko","D5122XXLB",259,"kWh/year","www.energystar.gov"
"Asko","D5122XXLS",259,"kWh/year","www.energystar.gov"
"Asko","D5122XXLW",259,"kWh/year","www.energystar.gov"
"Asko","D5132",259,"kWh/year","www.energystar.gov"
"Asko","D5152",257,"kWh/year","www.energystar.gov"
"Asko","D5152XXLB",257,"kWh/year","www.energystar.gov"
"Asko","D5152XXLS",257,"kWh/year","www.energystar.gov"
"Asko","D5152XXLW",257,"kWh/year","www.energystar.gov"
"Asko","D5220",252,"kWh/year","www.energystar.gov"
"Asko","D5220XXLFI",252,"kWh/year","www.energystar.gov"
"Asko","D5220XXLS",252,"kWh/year","www.energystar.gov"
"Asko","D5223XXLCS",259,"kWh/year","www.energystar.gov"
"Asko","D5223XXLFI",259,"kWh/year","www.energystar.gov"
"Asko","D5223XXLIS",259,"kWh/year","www.energystar.gov"
"Asko","D5233",259,"kWh/year","www.energystar.gov"
"Asko","D5233XXLCS",259,"kWh/year","www.energystar.gov"
"Asko","D5233XXLFI",259,"kWh/year","www.energystar.gov"
"Asko","D5233XXLFIENC",259,"kWh/year","www.energystar.gov"
"Asko","D5233XXLS",259,"kWh/year","www.energystar.gov"
"Asko","D5253",257,"kWh/year","www.energystar.gov"
"Asko","D5253XXLFI",257,"kWh/year","www.energystar.gov"
"Asko","D5253XXLHS",257,"kWh/year","www.energystar.gov"
"Asko","D5883",259,"kWh/year","www.energystar.gov"
"Asko","D5883XXLFIENC",259,"kWh/year","www.energystar.gov"
"Asko","D5883XXLHSENC",259,"kWh/year","www.energystar.gov"
"Asko","D5893",187,"kWh/year","www.energystar.gov"
"Asko","D5893XXLFI",187,"kWh/year","www.energystar.gov"
"Asko","D5893XXLHS",187,"kWh/year","www.energystar.gov"
"Avanti","DW18",280,"kWh/year","www.energystar.gov"
"Avanti","DW181SS",280,"kWh/year","www.energystar.gov"
"Blomberg","DW14110NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW14120NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW14140NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW15110NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW15111NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW15120NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW15121NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW15140NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW15141NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW34100NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW34110NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW34120NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW34140NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW35100NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW35110NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW35120NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW35140NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW36100NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW36101NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW36110NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW36111NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW36120NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW36121NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW36140NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DW36141NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT14410ULTRA",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT14420ULTRA",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT14440ULTRA",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT34400ULTRA",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT34410ULTRA",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT34420ULTRA",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT34440ULTRA",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT37200NBL00",290,"kWh/year","www.energystar.gov"
"Blomberg","DWT37210NBL00",290,"kWh/year","www.energystar.gov"
"Blomberg","DWT37220NBL00",290,"kWh/year","www.energystar.gov"
"Blomberg","DWT37240NBL00",290,"kWh/year","www.energystar.gov"
"Blomberg","DWT14210NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT14220NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT14240NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT15210NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT15211NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT15220NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT15221NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT15240NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT15241NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT34200NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT34210NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT34220NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT34240NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT34500CARRERA",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT34510CARRERA",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT34520CARRERA",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT34540CARRERA",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT35200NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT35210NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT35220NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT35240NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT36200NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT36201NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT36210NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT36211NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT36220NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT36221NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT36240NBL00",303,"kWh/year","www.energystar.gov"
"Blomberg","DWT36241NBL00",303,"kWh/year","www.energystar.gov"
"Bosch","SGE63E0#UC",234,"kWh/year","www.energystar.gov"
"Bosch","SGV45E03UC",290,"kWh/year","www.energystar.gov"
"Bosch","SGX58E05UC",234,"kWh/year","www.energystar.gov"
"Bosch","SHE33M0#UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHE33P0#UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHE42L1#UC",315,"kWh/year","www.energystar.gov"
"Bosch","SHE43F0#UC",315,"kWh/year","www.energystar.gov"
"Bosch","SHE43F1#UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHE43M0#UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHE43P0#UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHE43P1#UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHE45C0#UC",315,"kWh/year","www.energystar.gov"
"Bosch","SHE45M0#UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHE4AM0#UC",300,"kWh/year","www.energystar.gov"
"Bosch","SHE4AM1#UC",300,"kWh/year","www.energystar.gov"
"Bosch","SHE53L0#UC",315,"kWh/year","www.energystar.gov"
"Bosch","SHE55C0#UC",307,"kWh/year","www.energystar.gov"
"Bosch","SHE55M0#UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHE55M1#UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHE55M12UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHE55P0#UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHE58C0#UC",290,"kWh/year","www.energystar.gov"
"Bosch","SHE5AL0#UC",300,"kWh/year","www.energystar.gov"
"Bosch","SHE5AM0#UC",300,"kWh/year","www.energystar.gov"
"Bosch","SHE65P0#UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHE68E05UC",180,"kWh/year","www.energystar.gov"
"Bosch","SHE68E15UC",180,"kWh/year","www.energystar.gov"
"Bosch","SHE68M0#UC",234,"kWh/year","www.energystar.gov"
"Bosch","SHE68P0#UC",234,"kWh/year","www.energystar.gov"
"Bosch","SHE6AF0#UC",300,"kWh/year","www.energystar.gov"
"Bosch","SHE6AP0#UC",300,"kWh/year","www.energystar.gov"
"Bosch","SHE98M0#UC",190,"kWh/year","www.energystar.gov"
"Bosch","SHE98M05UC",190,"kWh/year","www.energystar.gov"
"Bosch","SHV43P13UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHV45M03UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHV65P03UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHV68E13UC",180,"kWh/year","www.energystar.gov"
"Bosch","SHV68M03UC",234,"kWh/year","www.energystar.gov"
"Bosch","SHV68P03UC",234,"kWh/year","www.energystar.gov"
"Bosch","SHV98M03UC",190,"kWh/year","www.energystar.gov"
"Bosch","SHX33M0#UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHX36L1#UC",315,"kWh/year","www.energystar.gov"
"Bosch","SHX36L15UC",315,"kWh/year","www.energystar.gov"
"Bosch","SHX3AM0#UC",300,"kWh/year","www.energystar.gov"
"Bosch","SHX43C0#UC",315,"kWh/year","www.energystar.gov"
"Bosch","SHX43M0#UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHX43P1#UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHX45L05UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHX45M0#UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHX45P0#UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHX46L1#UC",315,"kWh/year","www.energystar.gov"
"Bosch","SHX46L15UC",315,"kWh/year","www.energystar.gov"
"Bosch","SHX4AP0#UC",300,"kWh/year","www.energystar.gov"
"Bosch","SHX55M0#UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHX5AL0#UC",300,"kWh/year","www.energystar.gov"
"Bosch","SHX65P0#UC",259,"kWh/year","www.energystar.gov"
"Bosch","SHX68E05UC",180,"kWh/year","www.energystar.gov"
"Bosch","SHX68E15UC",180,"kWh/year","www.energystar.gov"
"Bosch","SHX68M0#UC",234,"kWh/year","www.energystar.gov"
"Bosch","SHX68P05UC",234,"kWh/year","www.energystar.gov"
"Bosch","SHX6AP0#UC",300,"kWh/year","www.energystar.gov"
"Bosch","SHX98M0#UC",190,"kWh/year","www.energystar.gov"
"Bosch","SHX98M05UC",190,"kWh/year","www.energystar.gov"
"Bosch","SRV53C03UC",315,"kWh/year","www.energystar.gov"
"Crosley","CDB8750T",330,"kWh/year","www.energystar.gov"
"Crosley","CUD4700W**",310,"kWh/year","www.energystar.gov"
"Crosley","CUD6710W**",312,"kWh/year","www.energystar.gov"
"DCS","DD124",157,"kWh/year","www.energystar.gov"
"DCS","DD224",308,"kWh/year","www.energystar.gov"
"Dacor","ED24",314,"kWh/year","www.energystar.gov"
"Dacor","EDW24",267,"kWh/year","www.energystar.gov"
"Dacor","ID24",314,"kWh/year","www.energystar.gov"
"Dacor","IDW24",267,"kWh/year","www.energystar.gov"
"Dacor","MD24",314,"kWh/year","www.energystar.gov"
"Dacor","MDW24S",312,"kWh/year","www.energystar.gov"
"Dacor","PD24",314,"kWh/year","www.energystar.gov"
"Danby","DDW1802*",280,"kWh/year","www.energystar.gov"
"Danby","DDW1805*",280,"kWh/year","www.energystar.gov"
"Danby","DDW496*",200,"kWh/year","www.energystar.gov"
"Danby","DDW497*",200,"kWh/year","www.energystar.gov"
"EdgeStar","DWP45ES",200,"kWh/year","www.energystar.gov"
"Electrolux","EDW5000DSS",312,"kWh/year","www.energystar.gov"
"Electrolux","EDW7505***",324,"kWh/year","www.energystar.gov"
"Electrolux","EIDW6105***",324,"kWh/year","www.energystar.gov"
"Electrolux","EIDW6305***",324,"kWh/year","www.energystar.gov"
"Electrolux","EIDW6405***",324,"kWh/year","www.energystar.gov"
"Electrolux","EIDW7505",324,"kWh/year","www.energystar.gov"
"Electrolux","EWDW6505***",324,"kWh/year","www.energystar.gov"
"Equator","CD400",196,"kWh/year","www.energystar.gov"
"Equator","FI924",330,"kWh/year","www.energystar.gov"
"Equator","SB77",289,"kWh/year","www.energystar.gov"
"Equator","SB924",330,"kWh/year","www.energystar.gov"
"Equator","WB77",289,"kWh/year","www.energystar.gov"
"Equator","WB924",330,"kWh/year","www.energystar.gov"
"Estate","TUD4700W**",310,"kWh/year","www.energystar.gov"
"Estate","TUD6710W**",312,"kWh/year","www.energystar.gov"
"Estate","TUD8700W***",320,"kWh/year","www.energystar.gov"
"Estate","TUD8750S*1",330,"kWh/year","www.energystar.gov"
"Estate","TUD8750S*2",330,"kWh/year","www.energystar.gov"
"Eterna","EDW5***N",341,"kWh/year","www.energystar.gov"
"EuroDesign","EDDW4BL",303,"kWh/year","www.energystar.gov"
"EuroDesign","EDDW4SS",303,"kWh/year","www.energystar.gov"
"EuroDesign","EDDW4WH",303,"kWh/year","www.energystar.gov"
"EuroDesign","EDDW61IT",303,"kWh/year","www.energystar.gov"
"EuroDesign","EDDW6BL",303,"kWh/year","www.energystar.gov"
"EuroDesign","EDDW6SS",303,"kWh/year","www.energystar.gov"
"EuroDesign","EDDW6WH",303,"kWh/year","www.energystar.gov"
"Eurotech","EDW242C",290,"kWh/year","www.energystar.gov"
"Eurotech","EDW242E",290,"kWh/year","www.energystar.gov"
"Eurotech","EDW254E",290,"kWh/year","www.energystar.gov"
"Eurotech","EDW274E",290,"kWh/year","www.energystar.gov"
"Eurotech","EDW294",290,"kWh/year","www.energystar.gov"
"Eurotech","EDW294E",290,"kWh/year","www.energystar.gov"
"Fagor","LFA-013IX",301,"kWh/year","www.energystar.gov"
"Fagor","LFA-013SS",301,"kWh/year","www.energystar.gov"
"Fagor","LFA-019IX",326,"kWh/year","www.energystar.gov"
"Fagor","LFA-019SS",326,"kWh/year","www.energystar.gov"
"Fagor","LFA-073IT",297,"kWh/year","www.energystar.gov"
"Fagor","LFA-073SS",297,"kWh/year","www.energystar.gov"
"Fagor","LFA-086XL",321,"kWh/year","www.energystar.gov"
"Fagor","LFA-086XLIT",321,"kWh/year","www.energystar.gov"
"Fagor","LFA-25",327,"kWh/year","www.energystar.gov"
"Fagor","LFA-65IT",301,"kWh/year","www.energystar.gov"
"Fagor","LFA-65ITX",301,"kWh/year","www.energystar.gov"
"Fagor","LFA-65SS",301,"kWh/year","www.energystar.gov"
"Fisher&Paykel","DD24D**",314,"kWh/year","www.energystar.gov"
"Fisher&Paykel","DD24S**",160,"kWh/year","www.energystar.gov"
"Fisher&Paykel","DD603",357,"kWh/year","www.energystar.gov"
"Fisher&Paykel","DD605",308,"kWh/year","www.energystar.gov"
"Fisher&Paykel","DS603",189,"kWh/year","www.energystar.gov"
"Fisher&Paykel","DS605",157,"kWh/year","www.energystar.gov"
"Frigidaire","BGBD2432***",316,"kWh/year","www.energystar.gov"
"Frigidaire","BGHD2433***",283,"kWh/year","www.energystar.gov"
"Frigidaire","DGBD2432***",316,"kWh/year","www.energystar.gov"
"Frigidaire","DGHD2433",283,"kWh/year","www.energystar.gov"
"Frigidaire","FBD1500LF**",329,"kWh/year","www.energystar.gov"
"Frigidaire","FDB1050RE**",327,"kWh/year","www.energystar.gov"
"Frigidaire","FDB1051RE**",327,"kWh/year","www.energystar.gov"
"Frigidaire","FDB1100**",332,"kWh/year","www.energystar.gov"
"Frigidaire","FDB1100****",309,"kWh/year","www.energystar.gov"
"Frigidaire","FDB1450****",329,"kWh/year","www.energystar.gov"
"Frigidaire","FDB1500LF**",329,"kWh/year","www.energystar.gov"
"Frigidaire","FDB1501FB**",329,"kWh/year","www.energystar.gov"
"Frigidaire","FDB1502****",318,"kWh/year","www.energystar.gov"
"Frigidaire","FDB1504****",329,"kWh/year","www.energystar.gov"
"Frigidaire","FDB1980****",329,"kWh/year","www.energystar.gov"
"Frigidaire","FDB2000RF**",329,"kWh/year","www.energystar.gov"
"Frigidaire","FDB2410H***",325,"kWh/year","www.energystar.gov"
"Frigidaire","FDB2415****",315,"kWh/year","www.energystar.gov"
"Frigidaire","FDB2830CE",329,"kWh/year","www.energystar.gov"
"Frigidaire","FDB4050****",329,"kWh/year","www.energystar.gov"
"Frigidaire","FDB4315****",309,"kWh/year","www.energystar.gov"
"Frigidaire","FDB520**",332,"kWh/year","www.energystar.gov"
"Frigidaire","FDB700***",328,"kWh/year","www.energystar.gov"
"Frigidaire","FDBB2040F**",329,"kWh/year","www.energystar.gov"
"Frigidaire","FDBB2455****",315,"kWh/year","www.energystar.gov"
"Frigidaire","FDBB2865****",315,"kWh/year","www.energystar.gov"
"Frigidaire","FDBB4365****",309,"kWh/year","www.energystar.gov"
"Frigidaire","FDR252RB",315,"kWh/year","www.energystar.gov"
"Frigidaire","FDS252RB",315,"kWh/year","www.energystar.gov"
"Frigidaire","FGB2432***",320,"kWh/year","www.energystar.gov"
"Frigidaire","FGBD2431***",320,"kWh/year","www.energystar.gov"
"Frigidaire","FGBD2432***",316,"kWh/year","www.energystar.gov"
"Frigidaire","FGBD2451***",316,"kWh/year","www.energystar.gov"
"Frigidaire","FGHD2433***",283,"kWh/year","www.energystar.gov"
"Frigidaire","FGHD2461***",283,"kWh/year","www.energystar.gov"
"Frigidaire","FGHD2471***",283,"kWh/year","www.energystar.gov"
"Frigidaire","FMB330****",300,"kWh/year","www.energystar.gov"
"Frigidaire","FMP330****",300,"kWh/year","www.energystar.gov"
"Frigidaire","FPHD2481***",283,"kWh/year","www.energystar.gov"
"Frigidaire","FPHD2482***",283,"kWh/year","www.energystar.gov"
"Frigidaire","GLD2250RD**",329,"kWh/year","www.energystar.gov"
"Frigidaire","GLD2445****",315,"kWh/year","www.energystar.gov"
"Frigidaire","GLD2875FP",329,"kWh/year","www.energystar.gov"
"Frigidaire","GLD2875R",329,"kWh/year","www.energystar.gov"
"Frigidaire","GLD3450RD",329,"kWh/year","www.energystar.gov"
"Frigidaire","GLD3451R",329,"kWh/year","www.energystar.gov"
"Frigidaire","GLD4050****",329,"kWh/year","www.energystar.gov"
"Frigidaire","GLD4355****",309,"kWh/year","www.energystar.gov"
"Frigidaire","LEDB400F",329,"kWh/year","www.energystar.gov"
"Frigidaire","LEDB500F",309,"kWh/year","www.energystar.gov"
"Frigidaire","LGHD2433***",283,"kWh/year","www.energystar.gov"
"Frigidaire","PLD2855****",315,"kWh/year","www.energystar.gov"
"Frigidaire","PLD2885R",329,"kWh/year","www.energystar.gov"
"Frigidaire","PLD3461R",329,"kWh/year","www.energystar.gov"
"Frigidaire","PLD3465RE",329,"kWh/year","www.energystar.gov"
"Frigidaire","PLD4050****",329,"kWh/year","www.energystar.gov"
"Frigidaire","PLD4375****",309,"kWh/year","www.energystar.gov"
"Frigidaire","PLD4555****",309,"kWh/year","www.energystar.gov"
"Fulgor","DD524P1***",339,"kWh/year","www.energystar.gov"
"Fulgor","DW324K1***",313,"kWh/year","www.energystar.gov"
"Fulgor","DW524L1***",313,"kWh/year","www.energystar.gov"
"Fulgor","DW524M1***",313,"kWh/year","www.energystar.gov"
"Fulgor","DW724M1***",313,"kWh/year","www.energystar.gov"
"GE","GDWF1**R",322,"kWh/year","www.energystar.gov"
"GE","GDWT1**R",322,"kWh/year","www.energystar.gov"
"GE","GDWT2**R",322,"kWh/year","www.energystar.gov"
"GE","GDWT3**R",322,"kWh/year","www.energystar.gov"
"GE","GHDF3**R",322,"kWh/year","www.energystar.gov"
"GE","GLD4***R",324,"kWh/year","www.energystar.gov"
"GE","GLD5***P",324,"kWh/year","www.energystar.gov"
"GE","GLD5***R",324,"kWh/year","www.energystar.gov"
"GE","GLD6***R",324,"kWh/year","www.energystar.gov"
"GE","GLD7***R",324,"kWh/year","www.energystar.gov"
"GE","GSD2***R",324,"kWh/year","www.energystar.gov"
"GE","GSD3***R",324,"kWh/year","www.energystar.gov"
"GE","GSD4***R",324,"kWh/year","www.energystar.gov"
"GEAdora","GHDA4**N",341,"kWh/year","www.energystar.gov"
"GECafe","CDW9***N**",322,"kWh/year","www.energystar.gov"
"GECafe","CDWT9**R",322,"kWh/year","www.energystar.gov"
"GEEterna","EDWF***P",322,"kWh/year","www.energystar.gov"
"GEMonogram","ZBD****P",322,"kWh/year","www.energystar.gov"
"GEMonogram","ZBD18**N",305,"kWh/year","www.energystar.gov"
