"productType","brand","modelName","modelNumber","category","energyPerTime","units","source"
"Notebook/Tablet","Panasonic","CF-T7B series","CF-T7B series","A",32.7,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Panasonic","CF-30F/G series","CF-30F/G series","A",39.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Panasonic","CF-19F/G/H/J series","CF-19F/G/H/J series","A",36.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","ITAUTEC","Infoway Note","N8320","A",35.3,"kWh/year","www.energystar.gov"
"Notebook/Tablet","General Dynamics Itronix","GoBook MR-1","IX750","A",38.2,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","Elitebook 6930p Notebook PC ENERGY STAR","6930p","A",28,"kWh/year","www.energystar.gov"
"Notebook/Tablet","HP","Elitebook 6930p Notebook PC ENERGY STAR","6930p","B",34.7,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Panasonic","CF-U1A/B/C/D/E series","CF-U1A/B/C/D/E series","A",20.9,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Panasonic","CF-T7D series","CF-T7D series","A",32.7,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Panasonic","CF-W7D series","CF-W7D series","A",32.7,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Panasonic","CF-Y7D series","CF-Y7D series","A",36.6,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Panasonic","CF-52G/H/J series","CF-52G/H/J series","A",38.3,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Panasonic","CF-52E/F series","CF-52E/F series","B",55.2,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Acer","MS2241","TravelMate 6593","A",27.1,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Acer","MS2241","TravelMate 6593","B",35.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200",7454,"A",34.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200",7455,"A",34.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200",7457,"A",34.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200",7458,"A",34.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200",7459,"A",34.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200",2023,"A",34.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Lenovo","ThinkPad X200",2024,"A",34.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Panasonic","CF-74 J/K series","CF-74 J/K series","A",39.1,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Fujitsu","LifeBook","S6520","A",38.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Fujitsu","LifeBook","S6520","B",51.4,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Fujitsu","LifeBook","T5010","A",39.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Acer","MS2231","TravelMate 5730 series","A",28.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Acer","MS2231","TravelMate 5730 series","B",38.2,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Acer","MS2231","Extensa 5630 series","A",28.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Acer","MS2231","Extensa 5630 series","B",38.2,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Fujitsu","LifeBook","E8420","A",35.5,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Fujitsu","LifeBook","E8420","B",48.8,"kWh/year","www.energystar.gov"
"Notebook/Tablet","Samsung","NP-Q310","NP-Q310","B",39.6,"kWh/year","www.energystar.gov"
