"brandName","modelName","modelNumber","energyPerTime","units","source"
"Canon","imageRUNNER 1019J","imageRUNNER 1019J",41.74,"kWh/year","www.energystar.gov"
"Canon","imageRUNNER 2230","imageRUNNER 2230",57.39,"kWh/year","www.energystar.gov"
"Canon","imageRUNNER 2830","imageRUNNER 2830",73.05,"kWh/year","www.energystar.gov"
"Canon","imageRUNNER 3025","imageRUNNER 3025",67.83,"kWh/year","www.energystar.gov"
"Canon","imageRUNNER 3030","imageRUNNER 3030",114.79,"kWh/year","www.energystar.gov"
"Canon","imageRUNNER 3035","imageRUNNER 3035",125.22,"kWh/year","www.energystar.gov"
"Canon","imageRUNNER 3045","imageRUNNER 3045",146.1,"kWh/year","www.energystar.gov"
"Canon","imageRUNNER 3530","imageRUNNER 3530",104.35,"kWh/year","www.energystar.gov"
"Canon","imageRUNNER 5075","imageRUNNER 5075",730.48,"kWh/year","www.energystar.gov"
"Canon","imageRUNNER 6570","imageRUNNER 6570",631.34,"kWh/year","www.energystar.gov"
"Canon","imageRUNNER 7095","imageRUNNER 7095",1398.34,"kWh/year","www.energystar.gov"
"Canon","imageRUNNER 7105","imageRUNNER 7105",1497.48,"kWh/year","www.energystar.gov"
"Canon","PC170","PC170",10.44,"kWh/year","www.energystar.gov"
"Canon","PC430","PC430",10.44,"kWh/year","www.energystar.gov"
"Copystar","CS 180","CS 180",67.83,"kWh/year","www.energystar.gov"
"Copystar","CS 220","CS 220",78.27,"kWh/year","www.energystar.gov"
"Copystar","CS 620","CS 620",495.68,"kWh/year","www.energystar.gov"
"Copystar","CS-8030","CS-8030",923.53,"kWh/year","www.energystar.gov"
"Copystar","CS 820","CS 820",876.57,"kWh/year","www.energystar.gov"
"Kyocera","KM-8030","KM-8030",923.53,"kWh/year","www.energystar.gov"
"Kyocera","TASKalfa 180","TASKalfa 180",67.83,"kWh/year","www.energystar.gov"
"Kyocera","TASKalfa 220","TASKalfa 220",78.27,"kWh/year","www.energystar.gov"
"Kyocera","TASKalfa 620","TASKalfa 620",495.68,"kWh/year","www.energystar.gov"
"Kyocera","TASKalfa 820","TASKalfa 820",876.57,"kWh/year","www.energystar.gov"
"NEC","IT8030","KM-8030",923.53,"kWh/year","www.energystar.gov"
"Oce","CS","655 Pro",631.34,"kWh/year","www.energystar.gov"
"Oce","CS","665 Pro",803.53,"kWh/year","www.energystar.gov"
"Gestetner","DSm745e","DSm745e",276.54,"kWh/year","www.energystar.gov"
"Gestetner","DSm745ep","DSm745ep",276.54,"kWh/year","www.energystar.gov"
"Gestetner","DSm745esp","DSm745esp",276.54,"kWh/year","www.energystar.gov"
"Gestetner","DSm745espi","DSm745espi",276.54,"kWh/year","www.energystar.gov"
"Gestetner","DSm 775","DSm 775",652.21,"kWh/year","www.energystar.gov"
"Gestetner","Gestetner MP 171","Gestetner MP 171",36.52,"kWh/year","www.energystar.gov"
"Gestetner","Gestetner MP 5000B","Gestetner MP 5000B",255.67,"kWh/year","www.energystar.gov"
"Gestetner","Gestetner MP C7500","Gestetner MP C7500",902.66,"kWh/year","www.energystar.gov"
"Gestetner","MP 6001","MP 6001",391.33,"kWh/year","www.energystar.gov"
"Lanier","Lanier LC 275c","Lanier LC 275c",902.66,"kWh/year","www.energystar.gov"
"Lanier","Lanier LD 425B","Lanier LD 425B",93.92,"kWh/year","www.energystar.gov"
"Lanier","Lanier MP 171","Lanier MP 171",36.52,"kWh/year","www.energystar.gov"
"Lanier","Lanier MP 5000B","Lanier MP 5000B",255.67,"kWh/year","www.energystar.gov"
"Lanier","LD275","LD275",652.21,"kWh/year","www.energystar.gov"
"Lanier","LD345","LD345",276.54,"kWh/year","www.energystar.gov"
"Lanier","LD360","LD360",391.33,"kWh/year","www.energystar.gov"
"Ricoh","Aficio MP 171","Aficio MP 171",36.52,"kWh/year","www.energystar.gov"
"Ricoh","Aficio MP 2550B","Aficio MP 2550B",93.92,"kWh/year","www.energystar.gov"
"Ricoh","Aficio MP 4500","Aficio MP 4500",276.54,"kWh/year","www.energystar.gov"
"Ricoh","Aficio MP 4500P","Aficio MP 4500P",276.54,"kWh/year","www.energystar.gov"
"Ricoh","Aficio MP 4500SP","Aficio MP 4500SP",276.54,"kWh/year","www.energystar.gov"
"Ricoh","Aficio MP 4500SPF","Aficio MP 4500SPF",276.54,"kWh/year","www.energystar.gov"
"Ricoh","Aficio MP 4500SPi","Aficio MP 4500SPi",276.54,"kWh/year","www.energystar.gov"
"Ricoh","Aficio MP 5000B","Aficio MP 5000B",255.67,"kWh/year","www.energystar.gov"
"Ricoh","Aficio MP 6000","Aficio MP 6000",433.07,"kWh/year","www.energystar.gov"
"Ricoh","Aficio MP 6001","Aficio MP 6001",391.33,"kWh/year","www.energystar.gov"
"Ricoh","Aficio MP 7000","Aficio MP 7000",433.07,"kWh/year","www.energystar.gov"
"Ricoh","Aficio MP 7500","Aficio MP 7500",652.21,"kWh/year","www.energystar.gov"
"Ricoh","Aficio MP 8000","Aficio MP 8000",433.07,"kWh/year","www.energystar.gov"
"Ricoh","Aficio MP C7500","Aficio MP C7500",902.66,"kWh/year","www.energystar.gov"
