"brandName","modelName","modelNumber","energyPerTime","units","source"
"DUPLO","DUPRINTER","DP-210e",198.27,"kWh/year","www.energystar.gov"
"DUPLO","DUPRINTER","DP-230e ",198.27,"kWh/year","www.energystar.gov"
"DUPLO","DUPRINTER","DP-C105",208.71,"kWh/year","www.energystar.gov"
"DUPLO","DUPRINTER","DP-C110",187.84,"kWh/year","www.energystar.gov"
"DUPLO","DUPRINTER","DP-C120",187.84,"kWh/year","www.energystar.gov"
"DUPLO","DUPRINTER","DP-S620",156.53,"kWh/year","www.energystar.gov"
"DUPLO","DUPRINTER ","DP-210Le",198.27,"kWh/year","www.energystar.gov"
"DUPLO","DUPRINTER ","DP-220e",198.27,"kWh/year","www.energystar.gov"
"DUPLO","DUPRINTER ","DP-220Le ",198.27,"kWh/year","www.energystar.gov"
"DUPLO","DUPRINTER ","DP-240e",198.27,"kWh/year","www.energystar.gov"
"DUPLO","DUPRINTER ","DP-460H",286.97,"kWh/year","www.energystar.gov"
"DUPLO","DUPRINTER ","DP-C115",208.71,"kWh/year","www.energystar.gov"
"DUPLO","DUPRINTER ","DP-C125",208.71,"kWh/year","www.energystar.gov"
"DUPLO","DUPRINTER ","DP-J450",203.49,"kWh/year","www.energystar.gov"
"DUPLO","DUPRINTER ","DP-S510",151.31,"kWh/year","www.energystar.gov"
"DUPLO","DUPRINTER ","DP-S520",156.53,"kWh/year","www.energystar.gov"
"DUPLO","DUPRINTER ","DP-S550",156.53,"kWh/year","www.energystar.gov"
"DUPLO","DUPRINTER ","DP-S650",156.53,"kWh/year","www.energystar.gov"
"DUPLO","DUPRINTER ","DP-S850",166.97,"kWh/year","www.energystar.gov"
"Gestetner","CP6143L","CP6143L",83.48,"kWh/year","www.energystar.gov"
"Gestetner","CP6244+","CP6244+",135.66,"kWh/year","www.energystar.gov"
"Gestetner","CP6334","CP6334",151.31,"kWh/year","www.energystar.gov"
"Gestetner","CP6340D","CP6340D",151.31,"kWh/year","www.energystar.gov"
"Gestetner","CP6346","CP6346",151.31,"kWh/year","www.energystar.gov"
"Lanier","3275DNP","3275DNP",88.7,"kWh/year","www.energystar.gov"
"Lanier","LDD120","LDD120",83.48,"kWh/year","www.energystar.gov"
"Lanier","LDD245","LDD245",135.66,"kWh/year","www.energystar.gov"
"Lanier","LDD250","LDD250",151.31,"kWh/year","www.energystar.gov"
"Lanier","LDD280","LDD280",151.31,"kWh/year","www.energystar.gov"
"Lanier","LDD345","LDD345",88.7,"kWh/year","www.energystar.gov"
"Lanier","LDD350d","LDD350d",151.31,"kWh/year","www.energystar.gov"
"Ricoh","DX 3340","DX 3340",83.48,"kWh/year","www.energystar.gov"
"Ricoh","DX 4542","DX 4542",135.66,"kWh/year","www.energystar.gov"
"Ricoh","DX 4545","DX 4545",88.7,"kWh/year","www.energystar.gov"
"Ricoh","DX 4640PD","DX 4640PD",151.31,"kWh/year","www.energystar.gov"
"Ricoh","HQ7000","HQ7000",151.31,"kWh/year","www.energystar.gov"
"Ricoh","HQ9000","HQ9000",151.31,"kWh/year","www.energystar.gov"
"Savin","3180DNP","3180DNP",83.48,"kWh/year","www.energystar.gov"
"Savin","3270DNP","3270DNP",135.66,"kWh/year","www.energystar.gov"
"Savin","3580DNP","3580DNP",151.31,"kWh/year","www.energystar.gov"
"Savin","3585DNP2","3585DNP2",151.31,"kWh/year","www.energystar.gov"
"Savin","3590DNP","3590DNP",151.31,"kWh/year","www.energystar.gov"
"RISO","EZ","EZ220U",52.18,"kWh/year","www.energystar.gov"
"RISO","EZ","EZ220UG",52.18,"kWh/year","www.energystar.gov"
"RISO","EZ","EZ230AN",57.39,"kWh/year","www.energystar.gov"
"RISO","EZ","EZ370AN",62.61,"kWh/year","www.energystar.gov"
"RISO","EZ","EZ390U",62.61,"kWh/year","www.energystar.gov"
"RISO","EZ","EZ390UG",62.61,"kWh/year","www.energystar.gov"
"RISO","EZ","EZ570AN",88.7,"kWh/year","www.energystar.gov"
"RISO","EZ","EZ590U",88.7,"kWh/year","www.energystar.gov"
"RISO","MZ",790,161.75,"kWh/year","www.energystar.gov"
"RISO","MZ","MZ990",161.75,"kWh/year","www.energystar.gov"
"RISO","RZ",990,187.84,"kWh/year","www.energystar.gov"
"RISO","RZ",997,187.84,"kWh/year","www.energystar.gov"
"Standard","SD360","SD360",83.48,"kWh/year","www.energystar.gov"
"Standard","SD430","SD430",135.66,"kWh/year","www.energystar.gov"
"Standard","SD435 Digital Duplicator","SD435",130.44,"kWh/year","www.energystar.gov"
"Standard","SD460","SD460",151.31,"kWh/year","www.energystar.gov"
"Standard","SD462","SD462",151.31,"kWh/year","www.energystar.gov"
"Standard","SD700","SD700",151.31,"kWh/year","www.energystar.gov"
