"brandName","modelName","modelNumber","energyPerTime","units","source"
"Canon","Color imageRUNNER LBP5360","Color imageRUNNER LBP5360",193.05,"kWh/year","www.energystar.gov"
"Canon","Color imageRUNNER LBP5960","Color imageRUNNER LBP5960",281.76,"kWh/year","www.energystar.gov"
"Canon","Color imageRUNNER LBP 5970","Color imageRUNNER LBP 5970",245.23,"kWh/year","www.energystar.gov"
"Canon","Color imageRUNNER LBP 5975","Color imageRUNNER LBP 5975",245.23,"kWh/year","www.energystar.gov"
"Canon","imagePRESS 1135","imagePRESS 1135",2728.86,"kWh/year","www.energystar.gov"
"Canon","imageRUNNER 7095Printer","imageRUNNER 7095Printer",1335.73,"kWh/year","www.energystar.gov"
"Canon","imageRUNNER LBP3460","imageRUNNER LBP3460",146.1,"kWh/year","www.energystar.gov"
"Canon","LASER SHOT LBP5300","LASER SHOT LBP5300",177.4,"kWh/year","www.energystar.gov"
"Dell","1720dn","1720dn",104.35,"kWh/year","www.energystar.gov"
"Dell","Dell 1230c Color Laser Printer","Dell 1230c Color Laser Printer",109.57,"kWh/year","www.energystar.gov"
"Dell","DELL 2130cn color laser printer","DELL 2130cn color laser printer",88.7,"kWh/year","www.energystar.gov"
"Dell","Dell 2145cn Color Laser MFP","Dell 2145cn",203.49,"kWh/year","www.energystar.gov"
"Dell","Dell 2230d Laser Printer","Dell 2230d ",146.1,"kWh/year","www.energystar.gov"
"Dell","Dell 2230dn Laser Printer","Dell 2230d",146.1,"kWh/year","www.energystar.gov"
"Dell","Dell 2330d Laser Printer","Dell 2330d Laser Printer",140.88,"kWh/year","www.energystar.gov"
"Dell","Dell 2330dn Laser Printer","Dell 2330dn Laser Printer",140.88,"kWh/year","www.energystar.gov"
"Dell","Dell 3130cn Color laser printer","Dell 3130cn",135.66,"kWh/year","www.energystar.gov"
"Dell","Dell 5330dn Mono Laser Printer ","Dell 5330dn Mono Laser Printer",339.15,"kWh/year","www.energystar.gov"
"Dell","Dell 7330dn Laser Printer","7330dn",339.15,"kWh/year","www.energystar.gov"
"Dell","Dell Color Laser Printer 1320c","Dell Color Laser Printer 1320c",78.27,"kWh/year","www.energystar.gov"
"Dell","Dell Color Laser Printer 3010cn","Dell Color Laser Printer 3010cn",224.36,"kWh/year","www.energystar.gov"
"Dell","Dell Color Laser Printer 3110cn","Dell Color Laser Printer 3110cn",177.4,"kWh/year","www.energystar.gov"
"Dell","Dell Color Laser Printer 5110cn","Dell Color Laser Printer 5110cn",313.06,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet 1600","CB373A",99.14,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet 2600n","Q6455A",109.57,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet 2605","Q7821A",146.1,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet 2605dn","Q7822A",146.1,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet 2605dtn","Q7823A",146.1,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet 3000dn","Q7535A",187.84,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet 3000dtn","Q7536A",187.84,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet 3600dn","Q5988A",177.4,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet 3600n","Q5987A",177.4,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet 3800dn","Q5983A",198.27,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet 3800dtn","Q5984A",198.27,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet CP2025dn","CB495A",99.14,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet CP2025x","CB496A",99.14,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet CP3505dn","CB443A",182.62,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet CP4005dn","CB504A",240.01,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet 4700dn","Q7493A",224.36,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet 4700dtn","Q7494A",224.36,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet CP1215","CC376A",52.18,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet CP1515n","CC377A",52.18,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet CP1518ni","CC378A",67.83,"kWh/year","www.energystar.gov"
"Hewlett Packard","Color LaserJet CP3505x","CB444A",182.62,"kWh/year","www.energystar.gov"
