device,rating,age,temperature,kWhPerYear,kWhPerCycle,units,source,algorithm,default
Fridge,A++,-,-,91,0.0000,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge,A+,-,-,138,0.0000,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge,A,-,-,177,0.0000,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge,B,-,-,217,0.0000,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,default
Fridge,C,-,-,245,0.0000,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge,D,-,-,278,0.0000,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge,E,-,-,300,0.0000,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge,F,-,-,300,0.0000,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge,G,-,-,530,0.0000,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge,Other,up to 12 years,-,177,0.0000,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Fridge,Other,over 12 years,-,266,0.0000,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge,Other,I don't know,-,177,0.0000,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer,A++,-,-,175,0.0000,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer,A+,-,-,221,0.0000,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer,A,-,-,222,0.0000,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer,B,-,-,291,0.0000,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer,C,-,-,347,0.0000,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer,D,-,-,450,0.0000,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer,E,-,-,390,0.0000,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer,F,-,-,645,0.0000,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer,G,-,-,433,0.0000,kWh/year,dgen / defra 2007,value*fuel_electricity,
Chest/upright Freezer,Other,up to 12 years,-,292,0.0000,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Chest/upright Freezer,Other,over 12 years,-,445,0.0000,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Chest/upright Freezer,Other,I don't know,-,292,0.0000,kWh/year,dgen / defra 2007,value*fuel_electricity,default
Fridge/Freezer,A++,-,-,206,0.0000,kWh/year,dgen / defra 2007,value*fuel_electricity,
Fridge/Freezer,A+,-,-,270,0.0000,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer,A,-,-,408,0.0000,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer,B,-,-,465,0.0000,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer,C,-,-,609,0.0000,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer,D,-,-,411,0.0000,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
