"country","kgCO2PerKWh","units","source","algorithm"
"Albania",0.03,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Algeria",0.7,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Angola",0.373,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Argentina",0.275,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Armenia",0.148,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Australia",0.868,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Austria",0.224,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Azerbaijan",0.524,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Bahrain",0.883,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Bangladesh",0.572,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Belarus",0.294,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Belgium",0.274,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Benin",0.863,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Bolivia",0.456,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Bosnia-Herzegovina ",0.632,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Brazil",0.078,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Brunei Darussalam",0.804,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Bulgaria",0.472,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Cameroon",0.031,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Canada",0.224,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Chile",0.279,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"People's Republic of China",0.771,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Chinese Taipei",0.633,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Colombia",0.153,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Congo",0,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Democratic Republic of Congo",0.004,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Costa Rica",0.02,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Côte d'Ivoire",0.384,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Croatia ",0.379,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Cuba",1,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Cyprus",0.834,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Czech Republic",0.502,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Denmark",0.356,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Dominican Republic",0.644,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Ecuador",0.264,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Egypt",0.418,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"El Salvador",0.318,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Eritrea",0.696,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Estonia",0.722,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Ethiopia",0.006,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Finland",0.297,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"FYR of Macedonia ",0.657,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"France",0.082,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Gabon",0.306,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Georgia",0.054,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Germany",0.499,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Ghana",0.298,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Gibraltar",0.758,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Greece",0.777,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Guatemala",0.404,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Haiti",0.32,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Honduras",0.352,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Hong Kong, China",0.776,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Hungary",0.421,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Iceland",0.001,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"India",0.912,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Indonesia",0.776,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Islamic Republic of Iran",0.523,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Iraq",0.927,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Ireland",0.549,"kgCO2/kWh","www.cer.ie","value*user_electricity_kWh"
"Israel",0.818,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"Italy",0.524,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
