"country","kgCO2PerKWh","units","source","algorithm"
"AL",0.03,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"DZ",0.7,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"AO",0.373,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"AR",0.275,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"AM",0.148,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"AU",0.868,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"AT",0.224,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"AZ",0.524,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"BH",0.883,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"BD",0.572,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"BY",0.294,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"BE",0.274,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"BJ",0.863,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"BO",0.456,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"BA",0.632,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"BR",0.078,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"BN",0.804,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"BG",0.472,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"CM",0.031,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"CA",0.224,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"CL",0.279,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"CN",0.771,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"CO",0.153,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"CG",0,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"CR",0.02,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"CI",0.384,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"HR",0.379,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"CU",1,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"CY",0.834,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"CZ",0.502,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"DK",0.356,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"DO",0.644,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"EC",0.264,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"EG",0.418,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"SV",0.318,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"ER",0.696,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"EE",0.722,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"ET",0.006,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"FI",0.297,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"FR",0.082,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"GA",0.306,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"GE",0.054,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"DE",0.499,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"GH",0.298,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"GI",0.758,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"GR",0.777,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"GT",0.404,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"HT",0.32,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"HN",0.352,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"HK",0.776,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"HU",0.421,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"IS",0.001,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"IN",0.912,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"ID",0.776,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"IR",0.523,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"IQ",0.927,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"IE",0.549,"kgCO2/kWh","www.cer.ie 2007","value*user_electricity_kWh"
"IL",0.818,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"IT",0.524,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"JM",0.794,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"JP",0.441,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"JO",0.64,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"KZ",1.116,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"KE",0.194,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"KP",0.542,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"KR",0.437,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"KW",0.663,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
"KG",0.084,"kgCO2/kWh","WBCSD 2006","value*user_electricity_kWh"
