"type","payment","kgCO2PerPound","units","source","algorithm"
"gas","normal",4.831,"kgCO2/£","EST 2009",
"gas","direct debit",4.976,"kgCO2/£","EST 2009",
"gas","prepayment",4.59,"kgCO2/£","EST 2009",
"electricity","normal",4.171,"kgCO2/£","EST 2009",
"electricity","direct debit",4.311,,"EST 2009",
"electricity","prepayment",4.086,"kgCO2/£","EST 2009",
"oil","-",6.345,"kgCO2/£","EST 2009",
"lpg","-",3.155,"kgCO2/£","EST 2009",
"coal","-",8.15,"kgCO2/£","EST 2009",
"coking coal","-",8.15,"kgCO2/£","EST 2009",
"biomass","-","0.4970","kgCO2/£","EST 2009",
"electricityE7","normal",7.029,"kgCO2/£","EST 2009",
"electricityE7","direct debit",7.265,"kgCO2/£","Calculated relative to differential for standard elec price from EST 2009",
"electricityE7","prepayment",6.886,"kgCO2/£","Calculated relative to differential for standard elec price from EST 2009",
