"name","energy","percentage","units","source","algorithm"
"summer","electricity",0.241,"N/A","jul-sep AMEE/EST/defra2008","seasonUsage/value"
"winter","electricity",0.259,"N/A","jan-mar AMEE/EST/defra2008","seasonUsage/value"
"spring","electricity",0.236,"N/A","apr-jun AMEE/EST/defra2008","seasonUsage/value"
"autumn","electricity",0.263,"N/A","oct-dec AMEE/EST/defra2008","seasonUsage/value"
"summer","electricityWithHeating",0.213,"N/A","jul-sep AMEE/EST/defra2008","seasonUsage/value"
"winter","electricityWithHeating",0.287,"N/A","jan-mar AMEE/EST/defra2008","seasonUsage/value"
"spring","electricityWithHeating",0.21,"N/A","apr-jun AMEE/EST/defra2008","seasonUsage/value"
"autumn","electricityWithHeating",0.289,"N/A","oct-dec AMEE/EST/defra2008","seasonUsage/value"
"summer","gas",0.122,"N/A","jul-sep AMEE/EST/defra2008","seasonUsage/value"
"winter","gas",0.378,"N/A","jan-mar AMEE/EST/defra2008","seasonUsage/value"
"spring","gas",0.122,"N/A","apr-jun AMEE/EST/defra2008","seasonUsage/value"
"autumn","gas",0.378,"N/A","oct-dec AMEE/EST/defra2008","seasonUsage/value"
"summer","oil",0.114,"N/A","jul-sep AMEE/EST/defra2008","seasonUsage/value"
"winter","oil",0.386,"N/A","jan-mar AMEE/EST/defra2008","seasonUsage/value"
"spring","oil",0.114,"N/A","apr-jun AMEE/EST/defra2008","seasonUsage/value"
"autumn","oil",0.386,"N/A","oct-dec AMEE/EST/defra2008","seasonUsage/value"
"summer","solidFuel",0.129,"N/A","jul-sep AMEE/EST/defra2008","seasonUsage/value"
"winter","solidFuel",0.371,"N/A","jan-mar AMEE/EST/defra2008","seasonUsage/value"
"spring","solidFuel",0.129,"N/A","apr-jun AMEE/EST/defra2008","seasonUsage/value"
"autumn","solidFuel",0.371,"N/A","oct-dec AMEE/EST/defra2008","seasonUsage/value"
