state,kgCO2PerkWh,units,source
AK,0.487,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
AL,0.605,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
AR,0.555,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
AZ,0.525,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
CA,0.239,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
CO,0.859,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
CT,0.315,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
DC,1.103,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
DE,0.915,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
FL,0.584,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
GA,0.629,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
HI,0.748,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
IA,0.865,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
ID,0.060,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
IL,0.511,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
IN,0.947,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
KS,0.859,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
KY,0.933,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
LA,0.531,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
MA,0.521,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
MD,0.597,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
ME,0.239,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
MI,0.603,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
MN,0.707,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
MO,0.837,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
MS,0.555,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
MT,0.722,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
NC,0.553,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
ND,1.054,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
NE,0.728,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
NH,0.350,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
NJ,0.300,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
NM,0.878,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
NV,0.653,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
NY,0.357,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
OH,0.804,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
OK,0.709,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
OR,0.178,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
PA,0.547,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
RI,0.438,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
SC,0.401,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
SD,0.536,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
TN,0.569,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
TX,0.615,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
UT,0.954,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
VA,0.523,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
VT,0.002,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
WA,0.147,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
WI,0.775,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
WV,0.874,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
WY,1.021,kgCO2/kWh,egrid 2007 http://www.epa.gov/cleanenergy/energy-resources/egrid/index.html
