homeDwellingType,homeNoOfBedrooms,homeFuel,homeAge,type,kgCO2PerYear,units,source,default
detached house,1,oil,1930-1995,boiler (old-12-15yrs old),7378,kgco2/year,defra/bre/dgen 2007,
detached house,1,oil,1930-1995,boiler (average-5-10yrs old),5995,kgco2/year,defra/bre/dgen 2007,
detached house,1,oil,1930-1995,boiler (new-less than 5 yrs old),5642,kgco2/year,defra/bre/dgen 2007,
detached house,1,oil,1930-1995,room heaters,8965,kgco2/year,defra/bre/dgen 2007,
detached house,1,oil,1930-1995,boiler (condensing),5329,kgco2/year,defra/bre/dgen 2007,
detached house,1,oil,1930-1995,warm air,6851,kgco2/year,defra/bre/dgen 2007,
detached house,1,oil,pre 1930,boiler (old-12-15yrs old),9422,kgco2/year,defra/bre/dgen 2007,
detached house,1,oil,pre 1930,boiler (average-5-10yrs old),7656,kgco2/year,defra/bre/dgen 2007,
detached house,1,oil,pre 1930,boiler (new-less than 5 yrs old),7205,kgco2/year,defra/bre/dgen 2007,
detached house,1,oil,pre 1930,room heaters,11380,kgco2/year,defra/bre/dgen 2007,
detached house,1,oil,pre 1930,boiler (condensing),6805,kgco2/year,defra/bre/dgen 2007,
detached house,1,oil,pre 1930,warm air,8749,kgco2/year,defra/bre/dgen 2007,
detached house,1,oil,post 1995,boiler (old-12-15yrs old),4828,kgco2/year,defra/bre/dgen 2007,
detached house,1,oil,post 1995,boiler (average-5-10yrs old),3923,kgco2/year,defra/bre/dgen 2007,
detached house,1,oil,post 1995,boiler (new-less than 5 yrs old),3692,kgco2/year,defra/bre/dgen 2007,
detached house,1,oil,post 1995,room heaters,5950,kgco2/year,defra/bre/dgen 2007,
detached house,1,oil,post 1995,boiler (condensing),3487,kgco2/year,defra/bre/dgen 2007,
detached house,1,oil,post 1995,warm air,4483,kgco2/year,defra/bre/dgen 2007,
detached house,1,lpg,1930-1995,boiler (old-12-15yrs old),6921,kgco2/year,defra/bre/dgen 2007,
detached house,1,lpg,1930-1995,boiler (average-5-10yrs old),5767,kgco2/year,defra/bre/dgen 2007,
detached house,1,lpg,1930-1995,boiler (new-less than 5 yrs old),5190,kgco2/year,defra/bre/dgen 2007,
detached house,1,lpg,1930-1995,boiler (condensing),4719,kgco2/year,defra/bre/dgen 2007,
detached house,1,lpg,pre 1930,boiler (old-12-15yrs old),8846,kgco2/year,defra/bre/dgen 2007,
detached house,1,lpg,pre 1930,boiler (average-5-10yrs old),7372,kgco2/year,defra/bre/dgen 2007,
detached house,1,lpg,pre 1930,boiler (new-less than 5 yrs old),6634,kgco2/year,defra/bre/dgen 2007,
detached house,1,lpg,pre 1930,boiler (condensing),6031,kgco2/year,defra/bre/dgen 2007,
detached house,1,lpg,post 1995,boiler (old-12-15yrs old),4523,kgco2/year,defra/bre/dgen 2007,
detached house,1,lpg,post 1995,boiler (average-5-10yrs old),3769,kgco2/year,defra/bre/dgen 2007,
detached house,1,lpg,post 1995,boiler (new-less than 5 yrs old),3392,kgco2/year,defra/bre/dgen 2007,
detached house,1,lpg,post 1995,boiler (condensing),3084,kgco2/year,defra/bre/dgen 2007,
detached house,1,biomass,1930-1995,boiler (wood chip/pellets),741,kgco2/year,defra/bre/dgen 2007,
detached house,1,biomass,1930-1995,stove,2498,kgco2/year,defra/bre/dgen 2007,
detached house,1,biomass,pre 1930,boiler (wood chip/pellets),966,kgco2/year,defra/bre/dgen 2007,
detached house,1,biomass,pre 1930,stove,2722,kgco2/year,defra/bre/dgen 2007,
detached house,1,biomass,post 1995,boiler (wood chip/pellets),474,kgco2/year,defra/bre/dgen 2007,
detached house,1,biomass,post 1995,stove,2231,kgco2/year,defra/bre/dgen 2007,
detached house,1,electricity,1930-1995,modern storage heaters (slim line),11331,kgco2/year,defra/bre/dgen 2007,
detached house,1,electricity,1930-1995,old storage heaters (large volume),11331,kgco2/year,defra/bre/dgen 2007,
detached house,1,electricity,1930-1995,room heaters (convector panel or radiant heaters),9768,kgco2/year,defra/bre/dgen 2007,
detached house,1,electricity,pre 1930,modern storage heaters (slim line),14802,kgco2/year,defra/bre/dgen 2007,
detached house,1,electricity,pre 1930,old storage heaters (large volume),14802,kgco2/year,defra/bre/dgen 2007,
detached house,1,electricity,pre 1930,room heaters (convector panel or radiant heaters),12474,kgco2/year,defra/bre/dgen 2007,
detached house,1,electricity,post 1995,modern storage heaters (slim line),7231,kgco2/year,defra/bre/dgen 2007,
detached house,1,electricity,post 1995,old storage heaters (large volume),7231,kgco2/year,defra/bre/dgen 2007,
detached house,1,electricity,post 1995,room heaters (convector panel or radiant heaters),6399,kgco2/year,defra/bre/dgen 2007,
detached house,1,coal,1930-1995,boiler-manual feed,11803,kgco2/year,defra/bre/dgen 2007,
detached house,1,coal,1930-1995,boiler automatic (gravity) feed,10819,kgco2/year,defra/bre/dgen 2007,
detached house,1,coal,1930-1995,open fires,18777,kgco2/year,defra/bre/dgen 2007,
