path,versions,aliasedTo
homeType,1.0|2.0,
fuel,1.0|2.0,
airSourceHeatPump,1.0|2.0,
baseNumberOfBedrooms,1.0|2.0,
cavityWall,1.0|2.0,
cavityWallSpaceEnergy,1.0|2.0,
cavityWallWaterEnergy,1.0|2.0,
doubleGlazing,1.0|2.0,
draftExclusion,1.0|2.0,
groundSourceHeatPump,1.0|2.0,
insulatedCavityWallSpaceEnergy,1.0|2.0,
insulatedCavityWallWaterEnergy,1.0|2.0,
loft,1.0|2.0,
noLoftInsulation,1.0|2.0,
solarHotWaterEnergySaved,1.0|2.0,
solidWall,1.0|2.0,
solidWallSpaceEnergy,1.0|2.0,
solidWallWaterEnergy,1.0|2.0,
source,1.0|2.0,
subtractCavityWall,1.0|2.0,
subtractDoubleGlazing,1.0|2.0,
subtractLoft100mm,1.0|2.0,
underFloor,1.0|2.0,
age,1.0|2.0,
comment,1.0|2.0,
hasAirSourceHeatPump,1.0|2.0,
hasBiomass,1.0|2.0,
hasCavityWallInsulation,1.0|2.0,
hasDoubleGlazing,1.0|2.0,
hasDraftExclusion,1.0|2.0,
hasGroundSourceHeatPump,1.0|2.0,
hasHydro,1.0|2.0,
hasLoftInsulation,1.0|2.0,
hasNoInsulation,1.0|2.0,
hasNoRenewables,1.0|2.0,
hasPhotovoltaic,1.0|2.0,
hasSolarHotWater,1.0|2.0,
hasSolidWallInsulation,1.0|2.0,
hasUnderFloorInsulation,1.0|2.0,
hasWindTurbine,1.0|2.0,
heatingType,1.0|2.0,
isWaterHeatingElectric,1.0|2.0,
numberOfBedrooms,1.0|2.0,
renewableElectricitySavedCO2,1.0|2.0,
spaceHeatingCO2,1.0|2.0,
waterHeatingCO2,1.0|2.0,
