state,type,fuel,numberOfBedrooms,kWhPerYearSpace,kWhPerYearWater,kWhPerYearAirCon,units,source
new york state,detached,natural gas,2,26838,6764,1248,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,detached,natural gas,3,33085,7171.5,1248,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,detached,natural gas,4 or more,39332,7579,1248,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,detached,fuel oil,2,18919,10083,834,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,detached,fuel oil,3,25345,9557,834,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,detached,fuel oil,4 or more,26969,11697,834,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,attached,natural gas,2,17089,4853,828,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,attached,natural gas,3,21828,6251,828,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,attached,natural gas,4 or more,29260,9164,828,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,apartment,natural gas,0 or 1,5534,2663,495,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,apartment,natural gas,2,12591,4467,574,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,apartment,natural gas,3,22045,5707,941,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,apartment,fuel oil,0 or 1,6417,4299,455,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,apartment,fuel oil,2,10204,5340,582,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,apartment,fuel oil,3,13910,10365,582,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,apartment,electricity,0 or 1,2123,867,188,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
new york state,apartment,electricity,2,5010,1830,683,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,detached,natural gas,0 or 1,5800,4188,277,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,detached,natural gas,2,7929,5624,788,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,detached,natural gas,3,8913,5928,834,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,detached,natural gas,4 or more,10680,6274,1838,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,detached,electricity,2,2361,1897,950,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,detached,electricity,3,2361,2735,1734,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,detached,electricity,4 or more,2534,2735,2233,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,attached,natural gas,2,5606,4552,801,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,attached,natural gas,3,6210,5934,1590,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,attached,natural gas,4 or more,10088,6869,1724,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,apartment,natural gas,0 or 1,2594,2647,500,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,apartment,natural gas,2,4413,3904,646,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,apartment,natural gas,3,4742,4275,646,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,apartment,electricity,0 or 1,1031,1278,500,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
california,apartment,electricity,2,1536,1596,672,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
texas,detached,natural gas,2,9907,4501,2595,kWh/year,http://www.eia.doe.gov/emeu/recs/recs2001/detail_tables.html
