"wasteType","wasteSubType","kgCO2eProductionEmissions","kgCO2ePreparationForReUse","kgCO2eDisposedByRecyclingOpenLoop","kgCO2eDisposedByRecyclingClosedLoop","kgCO2eCombustion","kgCO2eAnaerobicDigestion","kgCO2eDisposedByComposting","kgCO2eDisposedByLandfill","units","source"
"aggregates","rubble",8.000000000000,,4.000000000000,4.000000000000,,,,0.000000000000,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"batteries","post consumer non automotive",,,,,,,,75.491864101768,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"books",,954.512861240310,,,798.000000000000,-529.420000000000,,57.000000000000,579.580000000000,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"glass",,894.564500000000,,,528.580000000000,25.776200000000,,,25.776200000000,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"metal","aluminium cans and foil excl forming",9844.167361240310,,,598.880000000000,30.960000000000,,,21.305000000000,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"metal","mixed cans",4777.564761240310,,,888.347000000000,30.960000000000,,,21.305000000000,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"metal","scrap metal",3168.726193178290,,,927.712000000000,29.412000000000,,,20.239750000000,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"metal","steel cans",2708.107361240310,,,1006.580000000000,30.960000000000,,,21.305000000000,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"mineral oil",,1401.000000000000,,,676.000000000000,-1195.040000000000,,,0.000000000000,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"mixed commercial and industrial waste",,1613.000000000000,,,531.000000000000,-347.000000000000,-50.321859055048,-30.000000000000,199.000000000000,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"mixed municipal waste",,2052.634551860470,,257.398879868521,373.138177068810,-37.046413320000,-50.321859055048,-15.210537800000,289.835513557907,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
"organic waste","food and drink waste",3590.285157757540,,,,-89.000000000000,-161.973684927400,-39.274500000000,450.000000000000,,"http://www.defra.gov.uk/environment/economy/business-efficiency/reporting"
