"type","section","useOR","condition1","condition2","condition3","content","icon","isWellDone","carbonSaving","briefTipContent","individualSavingPerYear","countryWideSavingPerYear","cost","links","easiestToDo","saveYouMoney","units","source","algorithm","default"
"old boiler","home","FALSE","/home/heating:type=*old*",,,"The facts
The majority of us still have an old boiler, and as yours is over 10 years old, it may be costing you a fortune in heating bills.  The oldest boilers are only 60% efficient at keeping your home warm , and emit more carbon emissions  than the new condensing versions. 
 
What you can do 
Consider replacing your old boiler with a new condensing boiler.  They are over 90% efficient and help keep your home warm and snug","boiler.swf","FALSE","High","Upgrade to a condensing boiler and save up to a third on your heating bills","%A3170",,"n/a",,"low","high",,"defra 2008",,
"bills given","home","FALSE","!/home/energy/uk/price:EMPTY",,,"The facts
Are your heating bills burning a hole in your pocket? Turning your thermostat down by just 1degree C can save you 10% on your fuel bill.

What you can do
Try turning your thermostat down gradually by one dgree until you reach a comfortable 19-21 degrees C in your living room, and 18 degrees C in your bedroom.  Also check that your hot water tank termostat or immersion heater has been set to no more than 60 degrees C.  You'll still feel warm and cosy, but as an added bonus each degree drop will save you 10% off your average heating bill.","thermostat.swf","FALSE","Medium","Turn your thermostat down by 1 degree if it is set too high and save 10% on your bill","%A365",,"no cost","&lt;link&gt;&lt;linktext&gt;Find out more about high efficiency condensing boilers  &lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/home_improvements/heating_and_hot_water/what_is_a_high_efficiency_condensing_boiler&lt;/linkurl&gt;&lt;/link&gt;","High","High",,"defra 2008",,
"no bills given 1","home","FALSE","/home/energy/uk/price:EMPTY",,,"The facts
monitoring your fuel bills will help you get a handle on how much your heating is costing you.

What you can do
Start keeping an eye on your fuel bills, and if you have them handy, compare them with older bills to see how much you are spending.  If you find your bills are burning a hole in your pocket try turning the temperature on your thermostat down gradually by one degree until you reach a comfortable 19-21 degrees C in your living room and 18 degrees C in your bedroom.  You'll still feel warm and cosy, but as an added bonus each degree drop will save you 10% off your average heating bill.","bills.swf","FALSE","High","Check your fuel bills for your real energy useage - you might be using less than is estimated",,"no","no","&lt;link&gt;&lt;linktext&gt;Offers are available to help you save money on installing energy saving measures:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/energy_saving_grants_and_offers&lt;/linkurl&gt;&lt;/link&gt;","High","High",,"defra 2008",,
"green tariff","home","FALSE","/metadata::greenTariff=yes",,,"Congratulations for already choosing a 'green / renewable tariff' option.  You are already helping to increase demand for more clean, renewable energy supply in the UK.  However, because, generally, the renewable energy you are using has already been accounted for in the ' UK energy mix', and the carbon intensity (ie the amount of carbon released due to each Kilowatt-hour of energy produced) of our fuel has been calculated to include that renewable supply , we still give you a CO2 rating for your electricity usage.","N/A","TRUE",,,,"no","no","&lt;link&gt;&lt;linktext&gt;Find out about generating your own energy:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/generate_your_own_energy&lt;/linkurl&gt;&lt;/link&gt;",,,,"defra 2008",,
"no green tariff","home","FALSE","!/metadata::greenTariff=yes",,,"Why not look into switching to a Green tariff. There are a number energy companies that offer tariff options that supply renewable electricity to domestic customers. The nature of the physical supply you receive won't change, but you will be helping to support the demand for more renewable energy supply within the UK","power.swf","FALSE","low","Switch to a green tariff and support renewable energy",,"no","no","&lt;link&gt;&lt;linktext&gt;Click here to find out more about green electricity:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/generate_your_own_energy/green_electricity&lt;/linkurl&gt;&lt;/link&gt;","high","low",,"defra 2008",,
"has renewables","home","FALSE","!/home/energy/renewable:type=other",,,"Great news 
By investing in renewable technology in your home you're already reducing your carbon footprint and supporting the development of green technology.",,"TRUE",,"Well done",,"no",,,,,,"defra 2008",,
"no renewables","home","FALSE","/home/energy/renewable:type=other",,,"The Facts 
Even if you’ve made your home as energy efficient as possible  there is still more you can do. Using renewable sources reduces the energy you use, and as a result, the carbon emissions emitted.

What you can do
Why not look into renewable energy technologies, such as solar hot water, biomass burners or ground source heat pumps.  Installing technology like this could reduce your energy bills and will cut your carbon footprint. Solar hot water heating alone can meet around a third of your hot water needs throughout the year.","bill_w_turbines.swf","FALSE","Medium","After making your house energy efficient, why not thing about generating your own power through renewable technologies",,,,"&lt;link&gt;&lt;linktext&gt;Find out about generating your own energy:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/generate_your_own_energy&lt;/linkurl&gt;&lt;/link&gt;&lt;link&gt;&lt;linktext&gt;Find grants for installing renewable energy, please click here:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/generate_your_own_energy/grants_for_renewables&lt;/linkurl&gt;&lt;/link&gt;","low","medium",,"defra 2008",,
"no insulation","home","FALSE","/home/energy/insulation:type=other",,,"Insulating your home can significantly reduce your utility bills. Here are a few simple suggestions:","loft insulation","FALSE",,"Help to keep your home warm in the following ways:",,"no","no","&lt;link&gt;&lt;linktext&gt;Find out more about insulating your home:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/home_improvements/home_insulation_glazing&lt;/linkurl&gt;&lt;/link&gt;&lt;link&gt;&lt;linktext&gt;See how you could add value to your home:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/Home-improvements/Moving-Home/Unlock-the-hidden-value-of-your-home&lt;/linkurl&gt;&lt;/link&gt;","medium","medium",,"defra 2008",,
"no loft insulation","home","FALSE","!/home/energy/insulation:type=loft","/home/heating:homeDwellingType=*house*|*bungalow*|*maisonette*",,"The facts 
If your energy bills are slipping out of control, it could be something to do with the heat rising out of your roof . As much as a quarter of the energy you use to heat your house could be escaping out of your loft if you haven't insulated your loft.

What you can do 
Insulating an uninsulated loft is one of the most cost-effective measures of reducing heat loss and it?s really easy to install. Simply insulate your loft to the recommended depth of 270mm, and the average 3-bed semi-detached house could reduce its CO2 emissions by around 940kg per year. Plus, you will save money on your energy bills too.","loft insulation","FALSE","High","Insulate your loft and save 1 tonne of carbon dioxide per year","%A3185",,,"&lt;link&gt;&lt;linktext&gt;Click here to find out more about loft insulation:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/home_improvements/home_insulation_glazing/loft_insulation&lt;/linkurl&gt;&lt;/link&gt;&lt;link&gt;&lt;linktext&gt;Find Energy Saving Recommended insulation:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/Compare-and-buy-products/Insulation&lt;/linkurl&gt;&lt;/link&gt;","medium","high",,"defra 2008",,
"has loft insulation","home","FALSE","/home/energy/insulation:type=loft",,,"Great news

If you've already insulated your loft, you're already cutting your footprint by up to 940kg of CO2 every year, provided you've added insulation to at least the recommended depth of 270mm (nearly a foot). If you haven't got this much then you?re probably throwing money down the drain (or up the chimney, out the window etc)- consider topping-up your insulation to at least the recommended depth of 270mm.",,"TRUE",,,,,,"&lt;link&gt;&lt;linktext&gt;Find out about other ways of insulating your home:&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/home_improvements/home_insulation_glazing&lt;/linkurl&gt;&lt;/link&gt;&lt;link&gt;&lt;linktext&gt;How energy efficient is your home%3F&lt;/linktext&gt;&lt;linkurl&gt;http://www.energysavingtrust.org.uk/what_can_i_do_today/how_efficient_is_your_home&lt;/linkurl&gt;&lt;/link&gt;",,,,"defra 2008",,
