ruralOrUrban,profileType,numberOfPeople,flightsCO2,carsAndMotorbikesCO2,totalCO2,units,source,algorithm
all,household,1,2146,2171,4317,kg/year,ActOnCO2v1/EST 2009,
all,household,2,3415,2739,6154,kg/year,ActOnCO2v1/EST 2009,
all,household,3,3759,2959,6718,kg/year,ActOnCO2v1/EST 2009,
all,household,4,4843,3213,8055,kg/year,ActOnCO2v1/EST 2009,
all,household,5+,5914,3237,9150,kg/year,ActOnCO2v1/EST 2009,
all,household,all,4149,2902,7051,kg/year,ActOnCO2v1/EST 2009,
all,individual,1,2127,2073,4200,kg/year,ActOnCO2v1/EST 2009,
all,individual,2,1864,2284,4148,kg/year,ActOnCO2v1/EST 2009,
all,individual,3,1585,2337,3922,kg/year,ActOnCO2v1/EST 2009,
all,individual,4,1605,2543,4148,kg/year,ActOnCO2v1/EST 2009,
all,individual,5+,1776,2364,4140,kg/year,ActOnCO2v1/EST 2009,
all,individual,all,1785,2280,4064,kg/year,ActOnCO2v1/EST 2009,
urban,household,1,2146,1910,4056,kg/year,ActOnCO2v1/EST 2009,
urban,household,2,3415,2429,5844,kg/year,ActOnCO2v1/EST 2009,
urban,household,3,3759,2678,6437,kg/year,ActOnCO2v1/EST 2009,
urban,household,4,4843,2996,7838,kg/year,ActOnCO2v1/EST 2009,
urban,household,5+,5914,3056,8970,kg/year,ActOnCO2v1/EST 2009,
urban,household,all,4149,2638,6787,kg/year,ActOnCO2v1/EST 2009,
urban,individual,1,2127,1916,4043,kg/year,ActOnCO2v1/EST 2009,
urban,individual,2,1864,1989,3854,kg/year,ActOnCO2v1/EST 2009,
urban,individual,3,1585,2166,3751,kg/year,ActOnCO2v1/EST 2009,
urban,individual,4,1605,2388,3993,kg/year,ActOnCO2v1/EST 2009,
urban,individual,5+,1776,2159,3935,kg/year,ActOnCO2v1/EST 2009,
urban,individual,all,1785,2078,3862,kg/year,ActOnCO2v1/EST 2009,
rural,household,1,2146,2757,4903,kg/year,ActOnCO2v1/EST 2009,
rural,household,2,3415,3075,6490,kg/year,ActOnCO2v1/EST 2009,
rural,household,3,3759,3311,7070,kg/year,ActOnCO2v1/EST 2009,
rural,household,4,4843,3598,8441,kg/year,ActOnCO2v1/EST 2009,
rural,household,5+,5914,3747,9660,kg/year,ActOnCO2v1/EST 2009,
rural,household,all,4149,3323,7472,kg/year,ActOnCO2v1/EST 2009,
rural,individual,1,2127,2795,4922,kg/year,ActOnCO2v1/EST 2009,
rural,individual,2,1864,3078,4942,kg/year,ActOnCO2v1/EST 2009,
rural,individual,3,1585,2959,4545,kg/year,ActOnCO2v1/EST 2009,
rural,individual,4,1605,3149,4754,kg/year,ActOnCO2v1/EST 2009,
rural,individual,5+,1776,3131,4907,kg/year,ActOnCO2v1/EST 2009,
rural,individual,all,1785,3014,4799,kg/year,ActOnCO2v1/EST 2009,
