fuel,sourceDocumentation,oxidationFactor,units,source
coal,ipcc,98,,http://www.wbcsd.org/web/projects/forestry/Pulp-and-Paper-Tool-Guidance.pdf
coal,environment canada,99,,http://www.wbcsd.org/web/projects/forestry/Pulp-and-Paper-Tool-Guidance.pdf
coal,epa climate leaders,99,,http://www.wbcsd.org/web/projects/forestry/Pulp-and-Paper-Tool-Guidance.pdf
coal,doe 1605b,99,,http://www.wbcsd.org/web/projects/forestry/Pulp-and-Paper-Tool-Guidance.pdf
coal,epa ap-42,99,,http://www.wbcsd.org/web/projects/forestry/Pulp-and-Paper-Tool-Guidance.pdf
oil,ipcc,99,,http://www.wbcsd.org/web/projects/forestry/Pulp-and-Paper-Tool-Guidance.pdf
oil,environment canada,99,,http://www.wbcsd.org/web/projects/forestry/Pulp-and-Paper-Tool-Guidance.pdf
oil,epa climate leaders,99,,http://www.wbcsd.org/web/projects/forestry/Pulp-and-Paper-Tool-Guidance.pdf
oil,doe 1605b,99,,http://www.wbcsd.org/web/projects/forestry/Pulp-and-Paper-Tool-Guidance.pdf
oil,epa ap-42,99,,http://www.wbcsd.org/web/projects/forestry/Pulp-and-Paper-Tool-Guidance.pdf
natural gas,ipcc,99.5,,http://www.wbcsd.org/web/projects/forestry/Pulp-and-Paper-Tool-Guidance.pdf
natural gas,environment canada,99.5,,http://www.wbcsd.org/web/projects/forestry/Pulp-and-Paper-Tool-Guidance.pdf
natural gas,epa climate leaders,99.5,,http://www.wbcsd.org/web/projects/forestry/Pulp-and-Paper-Tool-Guidance.pdf
natural gas,doe 1605b,99,,http://www.wbcsd.org/web/projects/forestry/Pulp-and-Paper-Tool-Guidance.pdf
natural gas,epa ap-42,99.9,,http://www.wbcsd.org/web/projects/forestry/Pulp-and-Paper-Tool-Guidance.pdf
