"fuel","version","HVMass","HVVolume","EFNRGCO2","units","source"
"Gasoline / petrol","IPCC 99",,34.400000000000000,69.250000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gasoline / petrol","IPCC 06",,34.400000000000000,69.300000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gasoline / petrol","Mobile 4-stroke engines, industry",,34.400000000000000,71.150000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gasoline / petrol","Mobile 2-stroke engines, industry",,34.400000000000000,72.670000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gasoline / petrol","Mobile 2-stroke engines, forestry",,34.400000000000000,73.670000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gasoline / petrol","EIA",,34.400000000000000,68.023255813953500,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Gasoline / petrol","DEFRA",,34.400000000000000,66.860465116279100,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Kerosene","IPCC 99",,35.700000000000000,71.450000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Kerosene","IPCC 06",,35.700000000000000,71.900000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Kerosene","IPCC 06, CO2e",,35.700000000000000,72.150000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Kerosene","EIA",,35.700000000000000,72.268907563025200,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet Fuel","IPCC 99",0.044590000000000,34.780200000000000,70.720000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet Fuel","EIA",0.044590000000000,34.780200000000000,72.742537420716400,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Jet Fuel","DEFRA",0.044590000000000,34.780200000000000,72.455017509962600,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Aviation gasoline","IPCC 99",,34.300000000000000,69.110000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Aviation gasoline","EIA",,34.300000000000000,64.139941690962100,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Aviation gasoline","DEFRA",,34.300000000000000,65.306122448979600,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Diesel","IPCC 99",,37.100000000000000,74.010000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Diesel","IPCC 06",,36.200000000000000,74.100000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Diesel","IPCC 06, CO2e",,36.200000000000000,83.140000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Diesel","EIA",,36.200000000000000,74.033149171270700,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Diesel","DEFRA",,36.200000000000000,72.651933701657400,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Distillate fuel ","IPCC 99",,37.100000000000000,74.010000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Distillate fuel ","IPCC 06, CO2e",,37.100000000000000,83.140000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Distillate fuel","DEFRA",,37.100000000000000,72.506738544474400,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Residual Fuel oil","No 4.",,37.900000000000000,74.010000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Residual Fuel oil","No 5",,39.700000000000000,77.300000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Residual Fuel oil","No 6",,40.500000000000000,77.300000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Residual Fuel oil","Nos 5,6 EIA",,40.500000000000000,77.037037037037000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"LPG","IPCC 99",,24.900000000000000,63.200000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"LPG","IPCC 06",,24.900000000000000,63.100000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"LPG","IPCC 06, CO2e",,24.900000000000000,64.710000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"LPG","EIA",,24.900000000000000,61.445783132530100,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"LPG","DEFRA",,24.900000000000000,59.839357429718900,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lubricants","IPCC 99",,38.200000000000000,73.280000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Lubricants","IPCC 06",,38.200000000000000,73.300000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Anthracite","IPCC 99",0.028600000000000,,98.300000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Anthracite","EIA",0.028600000000000,,67.482517482517500,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bituminous coal","IPCC 99",0.030230000000000,,94.530000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Bituminous coal","EIA",0.030230000000000,,82.037710883228600,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Methane","EIA",,0.038346358567740,48.625592417061600,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Butane","EIA",,25.700000000000000,69.128416852000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Propane","IPCC 99",,24.000000000000000,62.990000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Propane","EIA",,23.900000000000000,63.549397282000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sub-bituminous coal","IPCC 99",0.018900000000000,,96.000000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Sub-bituminous coal","EIA",0.018900000000000,,98.412698412698400,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Wood, wood waste","IPCC 99",,,100.440000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"Natural gas","IPCC 99",,0.039000000000000,56.060000000000000,"DUMMY","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
