"fuel","engineType","massCO2PerEnergy","massCH4PerEnergy","massN2OPerEnergy","CH4WeightingFactor","N2OWeightingFactor","units","source"
"diesel","unknown",74100.00000,4.15000,28.60000,1.00000,1.00000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"diesel","naturally aspirated direct injection",74100.00000,4.15000,28.60000,0.80000,1.00000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"diesel","turbo-charged direct injection",74100.00000,4.15000,28.60000,0.80000,1.00000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"diesel","naturally aspirated pre-chamber injection",74100.00000,4.15000,28.60000,1.00000,1.00000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"diesel","turbo-charged pre-chamber injection",74100.00000,4.15000,28.60000,0.95000,1.00000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"diesel","inter-cooled turbo-charged pre-chamber injection",74100.00000,4.15000,28.60000,0.90000,1.00000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"sub-bituminous coal","unknown",96100.00000,2.00000,1.50000,1.00000,1.00000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"sub-bituminous coal","naturally aspirated direct injection",96100.00000,2.00000,1.50000,0.80000,1.00000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"sub-bituminous coal","turbo-charged direct injection",96100.00000,2.00000,1.50000,0.80000,1.00000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"sub-bituminous coal","naturally aspirated pre-chamber injection",96100.00000,2.00000,1.50000,1.00000,1.00000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"sub-bituminous coal","turbo-charged pre-chamber injection",96100.00000,2.00000,1.50000,0.95000,1.00000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"sub-bituminous coal","inter-cooled turbo-charged pre-chamber injection",96100.00000,2.00000,1.50000,0.90000,1.00000,,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
