"fuelType","kgCO2PerUsGallon","units","source"
"jet fuel",9.428000,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"aviation gasoline",8.333000,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol",8.598735,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"diesel",10.131000,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"residual fuel oil",11.125000,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"lpg",6.100000,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"cng",0.530000,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"lng",4.460000,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"E85 Ethanol/Gasoline",1.2898102,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
"B20 Biodiesel/Diesel",8.1044177,"none","GHGP http://www.ghgprotocol.org/calculation-tools/all-tools"
