"manufacturer","line","engineSize","transmission","sizeClass","cylinders","driveSystem","indexNumber","mpgCity","mpgHighway","mpgCombined","unrndCityEPA","unrndHwyEPA","unrndCompEPA","fuelType","releaseDate","units","source","algorithm"
"HONDA","CIVIC HYBRID",1.3,"Auto(AV)","COMPACT CARS",4,"F",2,40,45,42,54.6,65,58.836,"regular gas","09/28/07",,"http://www.fueleconomy.gov",
"MAZDA","MAZDA RX-8",1.3,"Manual(M6)","SUBCOMPACT CARS",2,"R",9,16,22,18,20.4,30.2,23.888,"premium gas","07/10/07",,"http://www.fueleconomy.gov",
"MAZDA","MAZDA RX-8",1.3,"Auto(S6)","SUBCOMPACT CARS",2,"R",9,16,23,19,20.177,32,24.201,"premium gas","07/10/07",,"http://www.fueleconomy.gov",
"HONDA","FIT",1.5,"Auto(L5)","SMALL STATION WAGONS",4,"F",1,27,34,30,34.7,49.3,40.035,"regular gas","07/25/07",,"http://www.fueleconomy.gov",
"HONDA","FIT",1.5,"Manual(M5)","SMALL STATION WAGONS",4,"F",1,28,34,31,36.72,48.2,41.128,"regular gas","07/25/07",,"http://www.fueleconomy.gov",
"HONDA","FIT",1.5,"Auto(S5)","SMALL STATION WAGONS",4,"F",1,27,33,29,34.3,47.7,39.264,"regular gas","07/25/07",,"http://www.fueleconomy.gov",
"TOYOTA","PRIUS",1.5,"Auto(AV)","MIDSIZE CARS",4,"F",2,48,45,46,66.6,64.8,65.778,"regular gas","09/30/07",,"http://www.fueleconomy.gov",
"TOYOTA","YARIS",1.5,"Auto(L4)","SUBCOMPACT CARS",4,"F",1,29,35,31,37.664,49.649,42.254,"regular gas","08/17/07",,"http://www.fueleconomy.gov",
"TOYOTA","YARIS",1.5,"Manual(M5)","SUBCOMPACT CARS",4,"F",1,29,36,32,37.768,51.019,42.766,"regular gas","08/17/07",,"http://www.fueleconomy.gov",
"CHEVROLET","AVEO",1.6,"Auto(A4)","COMPACT CARS",4,"F",2,23,32,26,28.879,44.393,34.268,"regular gas","05/28/07",,"http://www.fueleconomy.gov",
"CHEVROLET","AVEO",1.6,"Manual(M5)","COMPACT CARS",4,"F",2,24,34,27,30.086,47.687,36.078,"regular gas","05/28/07",,"http://www.fueleconomy.gov",
"CHEVROLET","AVEO 5",1.6,"Auto(A4)","SUBCOMPACT CARS",4,"F",2,23,32,26,28.879,44.393,34.268,"regular gas","05/28/07",,"http://www.fueleconomy.gov",
"CHEVROLET","AVEO 5",1.6,"Manual(M5)","SUBCOMPACT CARS",4,"F",2,24,34,27,30.086,47.687,36.078,"regular gas","05/28/07",,"http://www.fueleconomy.gov",
"HYUNDAI","ACCENT",1.6,"Auto(L4)","COMPACT CARS",4,"F",15,24,33,28,31.1,47.115,36.716,"regular gas","07/18/07",,"http://www.fueleconomy.gov",
"HYUNDAI","ACCENT",1.6,"Manual(M5)","COMPACT CARS",4,"F",15,27,32,29,35.35,44.443,38.935,"regular gas","07/18/07",,"http://www.fueleconomy.gov",
"KIA","RIO",1.6,"Auto(L4)","COMPACT CARS",4,"F",12,25,35,29,32.198,48.812,38.022,"regular gas","07/18/07",,"http://www.fueleconomy.gov",
"KIA","RIO",1.6,"Manual(M5)","COMPACT CARS",4,"F",12,27,32,29,35.373,44.595,39.002,"regular gas","07/18/07",,"http://www.fueleconomy.gov",
"MINI","MINI COOPER CONVERTIBLE",1.6,"Auto(AV)","MINICOMPACT CARS",4,"F",16,22,30,25,28.3,41.9,33.141,"premium gas","09/01/07",,"http://www.fueleconomy.gov",
"MINI","MINI COOPER CONVERTIBLE",1.6,"Manual(M5)","MINICOMPACT CARS",4,"F",16,23,32,26,28.9,44.9,34.419,"premium gas","09/01/07",,"http://www.fueleconomy.gov",
"MINI","MINI COOPER S CONVERTIBLE",1.6,"Manual(M6)","MINICOMPACT CARS",4,"F",17,21,29,24,26.637,40.256,31.42,"premium gas","09/01/07",,"http://www.fueleconomy.gov",
"MINI","MINI COOPER S CONVERTIBLE",1.6,"Auto(S6)","MINICOMPACT CARS",4,"F",17,19,29,23,24.558,40.275,29.789,"premium gas","09/01/07",,"http://www.fueleconomy.gov",
"DODGE","CALIBER",1.8,"Manual(M5)","COMPACT CARS",4,"F",800,24,29,26,30.691,40.628,34.487,"regular gas","07/01/07",,"http://www.fueleconomy.gov",
"HONDA","CIVIC",1.8,"Auto(L5)","SUBCOMPACT CARS",4,"F",4,25,36,29,32.821,50.971,39.083,"regular gas","08/31/07",,"http://www.fueleconomy.gov",
"HONDA","CIVIC",1.8,"Manual(M5)","SUBCOMPACT CARS",4,"F",4,26,34,29,33.772,48.279,39.052,"regular gas","08/31/07",,"http://www.fueleconomy.gov",
"LOTUS","ELISE/EXIGE",1.8,"Manual(M6)","TWO SEATERS",4,"R",1,21,27,23,26.5,37.6,30.56,"regular gas","09/01/07",,"http://www.fueleconomy.gov",
"LOTUS","ELISE/EXIGE",1.8,"Manual(M6)","TWO SEATERS",4,"R",2,20,26,22,25.2,37,29.423,"regular gas","09/01/07",,"http://www.fueleconomy.gov",
"NISSAN","VERSA",1.8,"Auto(AV)","MIDSIZE CARS",4,"F",1,27,33,29,34.84,46.261,39.194,"regular gas","07/03/07",,"http://www.fueleconomy.gov",
"NISSAN","VERSA",1.8,"Auto(L4)","MIDSIZE CARS",4,"F",1,24,32,27,30.739,44.657,35.754,"regular gas","07/03/07",,"http://www.fueleconomy.gov",
"NISSAN","VERSA",1.8,"Manual(M6)","MIDSIZE CARS",4,"F",1,26,31,28,33.039,44.079,37.236,"regular gas","07/03/07",,"http://www.fueleconomy.gov",
"PONTIAC","VIBE",1.8,"Auto(L4)","SMALL STATION WAGONS",4,"F",1,25,31,27,31.7,43.8,36.2,"regular gas","06/04/07",,"http://www.fueleconomy.gov",
"PONTIAC","VIBE",1.8,"Manual(M5)","SMALL STATION WAGONS",4,"F",1,26,33,29,33.5,46.6,38.352,"regular gas","06/04/07",,"http://www.fueleconomy.gov",
"TOYOTA","COROLLA",1.8,"Auto(L4)","COMPACT CARS",4,"F",3,26,35,29,33.546,49.05,39.109,"regular gas","06/04/07",,"http://www.fueleconomy.gov",
"TOYOTA","COROLLA",1.8,"Manual(M5)","COMPACT CARS",4,"F",3,28,37,31,35.75,52.55,41.757,"regular gas","06/04/07",,"http://www.fueleconomy.gov",
"TOYOTA","COROLLA MATRIX",1.8,"Auto(L4)","SMALL STATION WAGONS",4,"F",3,25,31,27,31.625,43.707,36.118,"regular gas","06/04/07",,"http://www.fueleconomy.gov",
"TOYOTA","COROLLA MATRIX",1.8,"Manual(M5)","SMALL STATION WAGONS",4,"F",3,26,33,29,33.243,46.36,38.093,"regular gas","06/04/07",,"http://www.fueleconomy.gov",
"TOYOTA","SCION XD",1.8,"Auto(L4)","SUBCOMPACT CARS",4,"F",4,26,32,28,33.5,45.1,37.885,"regular gas","07/12/07",,"http://www.fueleconomy.gov",
"TOYOTA","SCION XD",1.8,"Manual(M5)","SUBCOMPACT CARS",4,"F",4,27,33,29,34.7,46.9,39.3,"regular gas","07/12/07",,"http://www.fueleconomy.gov",
"AUDI","A3",2,"Manual(M6)","SMALL STATION WAGONS",4,"F",2,21,29,24,26.014,40.928,31.116,"premium gas","06/01/07",,"http://www.fueleconomy.gov",
"AUDI","A3",2,"Auto(S6)","SMALL STATION WAGONS",4,"F",5,22,29,25,28.11,40.409,32.571,"premium gas","01/15/07",,"http://www.fueleconomy.gov",
"AUDI","A4",2,"Auto(AV)","COMPACT CARS",4,"F",12,21,30,24,26.746,41.411,31.816,"premium gas","06/01/07",,"http://www.fueleconomy.gov",
"AUDI","A4",2,"Manual(M6)","COMPACT CARS",4,"F",12,20,31,24,25.6,43.6,31.441,"premium gas","06/01/07",,"http://www.fueleconomy.gov",
"AUDI","A4 AVANT QUATTRO",2,"Manual(M6)","SMALL STATION WAGONS",4,4,12,20,28,23,24.6,39.4,29.604,"premium gas","06/01/07",,"http://www.fueleconomy.gov",
"AUDI","A4 AVANT QUATTRO",2,"Auto(S6)","SMALL STATION WAGONS",4,4,12,19,27,22,24.235,38.338,29.043,"premium gas","06/01/07",,"http://www.fueleconomy.gov",
"AUDI","A4 CABRIOLET",2,"Auto(AV)","SUBCOMPACT CARS",4,"F",12,21,30,24,26.746,41.411,31.816,"premium gas","06/01/07",,"http://www.fueleconomy.gov",
"AUDI","A4 CABRIOLET QUATTRO",2,"Auto(S6)","SUBCOMPACT CARS",4,4,12,19,27,22,24.235,38.338,29.043,"premium gas","06/01/07",,"http://www.fueleconomy.gov",
"AUDI","A4 QUATTRO",2,"Manual(M6)","COMPACT CARS",4,4,12,20,28,23,24.6,39.4,29.604,"premium gas","06/01/07",,"http://www.fueleconomy.gov",
"AUDI","A4 QUATTRO",2,"Auto(S6)","COMPACT CARS",4,4,12,19,27,22,24.235,38.338,29.043,"premium gas","06/01/07",,"http://www.fueleconomy.gov",
"AUDI","TT COUPE",2,"Auto(S6)","SUBCOMPACT CARS",4,"F",5,23,31,26,29.1,43.6,34.221,"premium gas","01/15/07",,"http://www.fueleconomy.gov",
"AUDI","TT ROADSTER",2,"Auto(S6)","TWO SEATERS",4,"F",5,22,29,25,28.11,40.409,32.571,"premium gas","01/15/07",,"http://www.fueleconomy.gov",
"DODGE","CALIBER",2,"Auto(AV)","COMPACT CARS",4,"F",758,23,27,24,28.895,38,32.387,"regular gas","07/15/07",,"http://www.fueleconomy.gov",
"FORD","FOCUS  FWD",2,"Auto(L4)","COMPACT CARS",4,"F",125,24,33,28,31.083,46.614,36.566,"regular gas","08/28/07",,"http://www.fueleconomy.gov",
"FORD","FOCUS  FWD",2,"Manual(M5)","COMPACT CARS",4,"F",131,24,35,28,30.891,48.806,37.003,"regular gas","08/28/07",,"http://www.fueleconomy.gov",
"HONDA","CIVIC",2,"Manual(M6)","SUBCOMPACT CARS",4,"F",5,21,29,24,25.6,40.5,30.679,"premium gas","09/12/07",,"http://www.fueleconomy.gov",
"HYUNDAI","ELANTRA",2,"Auto(L4)","MIDSIZE CARS",4,"F",20,25,33,28,31.639,46.077,36.833,"regular gas","07/18/07",,"http://www.fueleconomy.gov",
"HYUNDAI","ELANTRA",2,"Manual(M5)","MIDSIZE CARS",4,"F",20,24,33,27,31,45.9,36.303,"regular gas","07/18/07",,"http://www.fueleconomy.gov",
"HYUNDAI","TIBURON",2,"Auto(L4)","SUBCOMPACT CARS",4,"F",18,20,27,22,24.738,38.183,29.396,"regular gas","07/18/07",,"http://www.fueleconomy.gov",
