year,manufacturer,line,engineSize,transmission,sizeClass,cylinders,driveSystem,fuelType,indexNumber,mpgCity,mpgHighway,mpgCombined,releaseDate,units,source
2008,ASTON MARTIN,V8 VANTAGE,4.3,Auto(S6),TWO SEATERS,8,R,P,12,13,20,15,6-Aug-07,,http://www.fueleconomy.gov
2008,ASTON MARTIN,V8 VANTAGE,4.3,Manual(M6),TWO SEATERS,8,R,P,11,12,19,15,6-Aug-07,,http://www.fueleconomy.gov
2008,AUDI,R8,4.2,Auto(S6),TWO SEATERS,8,4,P,19,13,19,15,17-Aug-07,,http://www.fueleconomy.gov
2008,AUDI,R8,4.2,Manual(M6),TWO SEATERS,8,4,P,19,13,20,15,17-Aug-07,,http://www.fueleconomy.gov
2008,AUDI,TT ROADSTER,2,Auto(S6),TWO SEATERS,4,F,P,5,22,29,25,15-Jan-07,,http://www.fueleconomy.gov
2008,AUDI,TT ROADSTER QUATTRO,3.2,Auto(S6),TWO SEATERS,6,4,P,8,18,24,20,15-Jan-07,,http://www.fueleconomy.gov
2008,AUDI,TT ROADSTER QUATTRO,3.2,Manual(M6),TWO SEATERS,6,4,P,8,17,24,19,15-Jan-07,,http://www.fueleconomy.gov
2008,BMW,Z4 3.0I,3,Auto(S6),TWO SEATERS,6,R,P,30,19,28,22,16-Apr-08,,http://www.fueleconomy.gov
2008,BMW,Z4 3.0I,3,Manual(M6),TWO SEATERS,6,R,P,30,18,28,21,16-Apr-08,,http://www.fueleconomy.gov
2008,BMW,Z4 3.0SI,3,Auto(S6),TWO SEATERS,6,R,P,30,19,28,22,16-Apr-08,,http://www.fueleconomy.gov
2008,BMW,Z4 3.0SI,3,Manual(M6),TWO SEATERS,6,R,P,30,18,28,21,16-Apr-08,,http://www.fueleconomy.gov
2008,BMW,Z4 COUPE,3,Auto(S6),TWO SEATERS,6,R,P,30,19,28,22,16-Apr-08,,http://www.fueleconomy.gov
2008,BMW,Z4 COUPE,3,Manual(M6),TWO SEATERS,6,R,P,30,18,28,21,16-Apr-08,,http://www.fueleconomy.gov
2008,BMW,Z4 M COUPE,3.2,Manual(M6),TWO SEATERS,6,R,P,32,15,23,18,3-Mar-08,,http://www.fueleconomy.gov
2008,BMW,Z4 M ROADSTER,3.2,Manual(M6),TWO SEATERS,6,R,P,32,15,23,18,3-Mar-08,,http://www.fueleconomy.gov
2008,BUGATTI,VEYRON,8,Auto(S6),TWO SEATERS,16,4,P,13,8,14,10,1-Jun-07,,http://www.fueleconomy.gov
2008,CADILLAC,XLR,4.4,Auto(S6),TWO SEATERS,8,R,P,24,14,21,16,29-Jun-07,,http://www.fueleconomy.gov
2008,CADILLAC,XLR,4.6,Auto(S6),TWO SEATERS,8,R,P,30,15,24,18,15-Jun-07,,http://www.fueleconomy.gov
2008,CHEVROLET,CORVETTE,6.2,Auto(S6),TWO SEATERS,8,R,P,26,15,25,18,12-Jun-07,,http://www.fueleconomy.gov
2008,CHEVROLET,CORVETTE,6.2,Manual(M6),TWO SEATERS,8,R,P,27,16,26,19,12-Jun-07,,http://www.fueleconomy.gov
