"type","subtype","size","region","massCO2PerMassDistance","massCH4PerMassDistance","massN2OPerMassDistance","units","source"
"air","domestic","unknown","other",2.86266580000000,0.0417,0.0479,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","domestic","unknown","uk",2.86266580000000,0.0417,0.0479,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","domestic","unknown","us",1.52700000000000,0.0417,0.0479,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","long haul","unknown","other",0.89533040000000,0.0417,0.0479,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","long haul","unknown","uk",0.89533040000000,0.0417,0.0479,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","long haul","unknown","us",1.52700000000000,0.0417,0.0479,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","short haul","unknown","other",2.15187940000000,0.0417,0.0479,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","short haul","unknown","uk",2.15187940000000,0.0417,0.0479,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","short haul","unknown","us",1.52700000000000,0.0417,0.0479,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"ferry","ropax","large","other",0.04800000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"ferry","ropax","large","uk",0.07227000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"ferry","ropax","large","us",0.04800000000000,0.0041,0.0014,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","articulated","3.5-33 tonnes","other",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","articulated","3.5-33 tonnes","uk",0.22282520000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","articulated","3.5-33 tonnes","us",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","articulated","greater than 33 tonnes","other",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","articulated","greater than 33 tonnes","uk",0.12669880000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","articulated","greater than 33 tonnes","us",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","articulated","unknown","other",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","articulated","unknown","uk",0.12948740000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","articulated","unknown","us",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","rigid","3.5-7.5 tonnes","other",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","rigid","3.5-7.5 tonnes","uk",0.96281160000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","rigid","3.5-7.5 tonnes","us",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","rigid","7.5-17 tonnes","other",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","rigid","7.5-17 tonnes","uk",0.60214780000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","rigid","7.5-17 tonnes","us",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","rigid","greater than 17 tonnes","other",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","rigid","greater than 17 tonnes","uk",0.29239420000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","rigid","greater than 17 tonnes","us",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","rigid","unknown","other",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","rigid","unknown","uk",0.36667900000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","rigid","unknown","us",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","unknown","unknown","other",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","unknown","unknown","uk",0.18143420000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy goods vehicle","unknown","unknown","us",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","diesel","less than 3.5 tonnes","other",0.29700000000000,0.0035,0.0027,,"v2.1 http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","diesel","less than 3.5 tonnes","uk",0.76207620000000,0.0035,0.0027,,"v2.1 http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","diesel","less than 3.5 tonnes","us",0.29700000000000,0.0035,0.0027,,"v2.1 http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","lpg/cng","less than 3.5 tonnes","other",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","lpg/cng","less than 3.5 tonnes","uk",0.90143320000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","lpg/cng","less than 3.5 tonnes","us",0.29700000000000,0.0035,0.0027,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
