"fuel","useContext","region","massCH4PerVolume","massN2OPerVolume","units","source"
"diesel","train","uk",0.8,0.26,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline","agricultural equipment","uk",1.26,0.22,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"diesel","agricultural equipment","uk",1.44,0.26,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline","construction equipment","uk",0.5,0.22,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"diesel","construction equipment","uk",0.58,0.26,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"residual fuel oil","ship and boat","uk",0.86,0.3,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"diesel","ship and boat","uk",0.74,0.26,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline","ship and boat","uk",0.64,0.22,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"diesel","train","us",0.8,0.26,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline","agricultural equipment","us",1.26,0.22,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"diesel","agricultural equipment","us",1.44,0.26,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline","construction equipment","us",0.5,0.22,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"diesel","construction equipment","us",0.58,0.26,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"residual fuel oil","ship and boat","us",0.86,0.3,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"diesel","ship and boat","us",0.74,0.26,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline","ship and boat","us",0.64,0.22,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
