"fuel","region","massCO2PerVolume","massBiogenicCO2PerVolume","units","source"
"100 percent biodiesel","other",,9.460000000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"100 percent biodiesel","uk",,9.460000000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"100 percent biodiesel","us",,9.460000000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"aviation gasoline","other",8.333000000,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"aviation gasoline","uk",8.372950000,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"aviation gasoline","us",8.320000000,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"b20 biodiesel/diesel","other",8.104417776,1.892000000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"b20 biodiesel/diesel","uk",7.998728000,1.892000000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"b20 biodiesel/diesel","us",8.120000000,1.892000000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"cng","other",0.007085069,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"cng","uk",0.007657888,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"cng","us",0.007218750,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"e85 ethanol/gasoline","other",1.289810249,4.726000000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"e85 ethanol/gasoline","uk",1.306989000,4.726000000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"e85 ethanol/gasoline","us",1.321500000,4.726000000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"ethanol","other",,5.560000000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"ethanol","uk",,5.560000000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"ethanol","us",,5.560000000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol","other",8.598734991,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol","uk",8.713260000,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"gasoline/petrol","us",8.810000000,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"jet fuel","other",9.428000000,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"jet fuel","uk",9.546050000,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"jet fuel","us",9.570000000,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"lng","other",4.460000000,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"lng","uk",4.645457341,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"lng","us",4.460000000,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"lpg","other",6.100000000,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"lpg","uk",5.641020641,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"lpg","us",5.790000000,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"on-road diesel fuel","other",10.131000000,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"on-road diesel fuel","uk",9.998410000,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"on-road diesel fuel","us",10.150000000,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"residual fuel oil (3s 5 and 6)","other",11.125000000,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"residual fuel oil (3s 5 and 6)","uk",9.576713272,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"residual fuel oil (3s 5 and 6)","us",11.800000000,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
