"type","subtype","class","region","massCO2PerDistance","massCH4PerDistance","massN2OPerDistance","units","source"
"air","domestic","none","other",0.27595422,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","domestic","none","uk",0.27595422,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","domestic","none","us",0.27595422,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","long haul","business","other",0.38564710,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","long haul","business","uk",0.38564710,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","long haul","business","us",0.38564710,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","long haul","economy","other",0.13298009,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","long haul","economy","uk",0.13298009,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","long haul","economy","us",0.13298009,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","long haul","economy plus","other",0.21277137,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","long haul","economy plus","uk",0.21277137,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","long haul","economy plus","us",0.21277137,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","long haul","first","other",0.53192038,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","long haul","first","uk",0.53192038,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","long haul","first","us",0.53192038,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","long haul","unknown","other",0.18216165,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","long haul","unknown","uk",0.18216165,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","long haul","unknown","us",0.18216165,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","short haul","economy","other",0.14878385,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","short haul","economy","uk",0.14878385,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","short haul","economy","us",0.14878385,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","short haul","economy plus","other",0.22316773,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","short haul","economy plus","uk",0.22316773,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","short haul","economy plus","us",0.22316773,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","short haul","unknown","other",0.15610637,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","short haul","unknown","uk",0.15610637,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"air","short haul","unknown","us",0.15610637,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"bus","coach","none","other",0.10700000,0.00060000,0.00050000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"bus","coach","none","uk",0.04828032,0.00600000,0.00289700,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"bus","coach","none","us",0.10700000,0.00060000,0.00050000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"bus","local","none","other",0.10700000,0.00060000,0.00050000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"bus","local","none","uk",0.25308544,0.01530000,0.00659800,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"bus","local","none","us",0.10700000,0.00060000,0.00050000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"bus","unknown","none","other",0.10700000,0.00060000,0.00050000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"bus","unknown","none","uk",0.21555554,0.01230000,0.00531100,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"bus","unknown","none","us",0.10700000,0.00060000,0.00050000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"ferry","large ropax","none","other",0.18539643,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"ferry","large ropax","none","uk",0.18533206,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"ferry","large ropax","none","us",0.18539643,,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"taxi","none","none","other",0.23000000,0.02000000,0.02100000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"taxi","none","none","uk",0.24510309,0.00300000,0.00611600,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"taxi","none","none","us",0.23000000,0.02000000,0.02100000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"train","average (light rail and tram)","none","other",0.16300000,0.00400000,0.00200000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"train","average (light rail and tram)","none","uk",0.12359762,0.00300000,0.00225300,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"train","average (light rail and tram)","none","us",0.16300000,0.00400000,0.00200000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"train","light rail","none","other",0.16300000,0.00400000,0.00200000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"train","light rail","none","uk",0.12359762,0.00300000,0.00225300,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"train","light rail","none","us",0.16300000,0.00400000,0.00200000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"train","national","none","other",0.18500000,0.00200000,0.00100000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"train","national","none","uk",0.08593897,0.00500000,0.01577200,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"train","national","none","us",0.18500000,0.00200000,0.00100000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"train","subway","none","other",0.16300000,0.00400000,0.00200000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"train","subway","none","uk",0.11931676,0.00300000,0.00225300,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"train","subway","none","us",0.16300000,0.00400000,0.00200000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"train","tram","none","other",0.16300000,0.00400000,0.00200000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"train","tram","none","uk",0.12359762,0.00300000,0.00225300,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"train","tram","none","us",0.16300000,0.00400000,0.00200000,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
