"type","fuel","emissionStandard","distancePerVolume","massCO2PerDistance","massBiogenicCO2PerDistance","units","source"
"bus","ethanol",,5,,1.112,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"bus","diesel",,3.7,2.73810810810811,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"bus","gasoline",,5,1.7197469982,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline","1984-1993",22.5,0.3821659996,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",1994,22.5,0.3821659996,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",1995,22.5,0.3821659996,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",1996,22.5,0.3821659996,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",1997,22.5,0.3821659996,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",1998,22.5,0.3821659996,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",1999,22.5,0.3821659996,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",2000,22.5,0.3821659996,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",2001,22.5,0.3821659996,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",2002,22.5,0.3821659996,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",2003,22.5,0.3821659996,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline",2004,22.5,0.3821659996,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","gasoline","2005-present",22.5,0.3821659996,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","diesel","1960-1982",22.5,0.450266666666667,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","diesel","1983-present",22.5,0.450266666666667,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","lpg",,16.2,0.376543209876543,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","ethanol",,16.2,,0.34320987654321,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline","1987-1993",16.2,0.530786110555556,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",1994,16.2,0.530786110555556,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",1995,16.2,0.530786110555556,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",1996,16.2,0.530786110555556,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",1997,16.2,0.530786110555556,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",1998,16.2,0.530786110555556,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",1999,16.2,0.530786110555556,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",2000,16.2,0.530786110555556,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",2001,16.2,0.530786110555556,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",2002,16.2,0.530786110555556,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",2003,16.2,0.530786110555556,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline",2004,16.2,0.530786110555556,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","gasoline","2005-present",16.2,0.530786110555556,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","diesel","1960-1982",16.2,0.62537037037037,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","diesel","1983-1995",16.2,0.62537037037037,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","diesel","1996-present",16.2,0.62537037037037,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline","1985-1986",8.8,0.97712897625,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline",1987,8.8,0.97712897625,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline","1988-1989",8.8,0.97712897625,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline","1990-1995",8.8,0.97712897625,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline",1996,8.8,0.97712897625,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline",1997,8.8,0.97712897625,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline",1998,8.8,0.97712897625,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline",1999,8.8,0.97712897625,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline",2000,8.8,0.97712897625,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline",2001,8.8,0.97712897625,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline",2002,8.8,0.97712897625,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline",2003,8.8,0.97712897625,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline",2004,8.8,0.97712897625,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","gasoline","2005-present",8.8,0.97712897625,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","diesel","1960-present",8.8,1.15125,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","lng",,8.8,0.506818181818182,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","lpg",,8.8,0.693181818181818,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (rigid)","ethanol",,8.8,,0.631818181818182,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline","1985-1986",5.9,1.45741271033898,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline",1987,5.9,1.45741271033898,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline","1988-1989",5.9,1.45741271033898,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline","1990-1995",5.9,1.45741271033898,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline",1996,5.9,1.45741271033898,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline",1997,5.9,1.45741271033898,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline",1998,5.9,1.45741271033898,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline",1999,5.9,1.45741271033898,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline",2000,5.9,1.45741271033898,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline",2001,5.9,1.45741271033898,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline",2002,5.9,1.45741271033898,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline",2003,5.9,1.45741271033898,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline",2004,5.9,1.45741271033898,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","gasoline","2005-present",5.9,1.45741271033898,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","diesel","1960-present",5.9,1.7171186440678,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","lng",,5.9,0.75593220338983,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","lpg",,5.9,1.03389830508475,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"heavy duty vehicle (articulated)","ethanol",,5.9,,0.942372881355932,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"motorbike","diesel","non-catalyst control",50,0.20262,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"motorbike","diesel","uncontrolled",50,0.20262,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"motorbike","diesel","control unknown",50,0.20262,,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
