"type","fuel","size","massCO2PerDistance","units","source"
"passenger car","petrol","less than 1.4 litres",0.17297,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","petrol","1.4-2.0 litres",0.21486,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","petrol","greater than 2.0 litres",0.29937,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","petrol","unknown",0.21071,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","diesel","less than 1.4 litres",0.14518,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","diesel","1.4-2.0 litres",0.18097,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","diesel","greater than 2.0 litres",0.24546,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","diesel","unknown",0.19495,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","hybrid","1.4-2.0 litres",0.11914,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","hybrid","greater than 2.0 litres",0.21726,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","hybrid","unknown",0.1647,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","lpg/cng","1.4-2.0 litres",0.19337,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","lpg/cng","greater than 2.0 litres",0.26943,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"passenger car","lpg/cng","unknown",0.21419,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","petrol","less than 1.25 tonnes",0.19407,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","diesel","less than 3.5 tonnes",0.2508,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","lpg/cng","less than 3.5 tonnes",0.26334,,"v2.1 http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","lpg","less than 3.5 tonnes",0.26334,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","cng","less than 3.5 tonnes",0.23826,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"light goods vehicle","unknown",,0.25016,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"motorbike","petrol","less than 125 cc",0.08499,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"motorbike","petrol","125-500 cc",0.10316,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"motorbike","petrol","greater than 500 cc",0.13724,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"motorbike","petrol","unknown",0.11606,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
