"type","size","load","massCO2PerDistance","units","source"
"rigid","3.5-7.5 tonnes",0%,0.52763,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"rigid","3.5-7.5 tonnes",50%,0.57351,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"rigid","3.5-7.5 tonnes",100%,0.61939,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"rigid","3.5-7.5 tonnes","40% (default)",0.563,,"v2.1 http://www.ghgprotocol.org/calculation-tools/all-tools"
"rigid","3.5-7.5 tonnes","41% (default)",0.56525,,"v2.2 http://www.ghgprotocol.org/calculation-tools/all-tools"
"rigid","7.5-17 tonnes",0%,0.67125,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"rigid","7.5-17 tonnes",50%,0.76714,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"rigid","7.5-17 tonnes",100%,0.86303,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"rigid","7.5-17 tonnes","39% (default)",0.747,,"v2.1 http://www.ghgprotocol.org/calculation-tools/all-tools"
"rigid","7.5-17 tonnes","41% (default)",0.74988,,"v2.2 http://www.ghgprotocol.org/calculation-tools/all-tools"
"rigid","greater than 17 tonnes",0%,0.79814,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"rigid","greater than 17 tonnes",50%,0.97334,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"rigid","greater than 17 tonnes",100%,1.14854,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"rigid","greater than 17 tonnes","56% (default)",0.969,,"v2.1 http://www.ghgprotocol.org/calculation-tools/all-tools"
"rigid","greater than 17 tonnes","53% (default)",0.98379,,"v2.2 http://www.ghgprotocol.org/calculation-tools/all-tools"
"rigid","unknown",,0.82903,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"articulated","3.5-33 tonnes",0%,0.69214,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"articulated","3.5-33 tonnes",50%,0.86518,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"articulated","3.5-33 tonnes",100%,1.03822,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"articulated","3.5-33 tonnes","43% (default)",0.817,,"v2.1 http://www.ghgprotocol.org/calculation-tools/all-tools"
"articulated","3.5-33 tonnes","45% (default)",0.84788,,"v2.2 http://www.ghgprotocol.org/calculation-tools/all-tools"
"articulated","greater than 33 tonnes",0%,0.69793,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"articulated","greater than 33 tonnes",50%,0.93057,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"articulated","greater than 33 tonnes",100%,1.16321,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"articulated","greater than 33 tonnes","59% (default)",0.929,,"v2.1 http://www.ghgprotocol.org/calculation-tools/all-tools"
"articulated","greater than 33 tonnes","61% (default)",0.98175,,"v2.2 http://www.ghgprotocol.org/calculation-tools/all-tools"
"articulated","unknown",,0.969,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
"unknown","unknown",,0.89522,,"http://www.ghgprotocol.org/calculation-tools/all-tools"
