name,IPCC European transport
algFile,default.js
name,path,type,isDataItemValue,isDrillDown,unit,perUnit,default,choices
Vehicle type,type,TEXT,true,true,,,,
Fuel type,fuel,TEXT,true,true,,,,
Emissions control technology,technology,TEXT,true,true,,,,
Cold start urban N2O emissions factor,massN2OPerDistanceUrbanCold,DECIMAL,true,false,mg,km,,
Hot start urban N2O emissions factor,massN2OPerDistanceUrbanHot,DECIMAL,true,false,mg,km,,
Highway N2O emissions factor,massN2OPerDistanceHighway,DECIMAL,true,false,mg,km,,
Rural N2O emissions factor,massN2OPerDistanceRural,DECIMAL,true,false,mg,km,,
Cold start urban CH4 emissions factor,massCH4PerDistanceUrbanCold,DECIMAL,true,false,mg,km,,
Hot start urban CH4 emissions factor,massCH4PerDistanceUrbanHot,DECIMAL,true,false,mg,km,,
Highway CH4 emissions factor,massCH4PerDistanceRural,DECIMAL,true,false,mg,km,,
Rural CH4 emissions factor,massCH4PerDistanceHighway,DECIMAL,true,false,mg,km,,
Distance,distance,DECIMAL,false,false,km,,,
Fuel efficiency,fuelEfficiency,DECIMAL,false,false,km,L,,
Fuel consumed,fuelConsumed,DECIMAL,false,false,L,,,
Occupancy,occupancy,DECIMAL,false,false,,,1,
Proportion urban cold start,urbanCold,DECIMAL,false,false,,,0.3,
Proportion urban hot start,urbanhot,DECIMAL,false,false,,,0.1,
Proportion highway,highway,DECIMAL,false,false,,,0.3,
Proportion rural,rural,DECIMAL,false,false,,,0.3,
Fuel density,density,DECIMAL,false,false,kg,L,,
Source,source,TEXT,true,false,,,,
