name,Car Generic
algFile,default.js
name,path,type,isDataItemValue,isDrillDown,unit,perUnit,default,choices
Fuel,fuel,TEXT,true,true,,,,
Size,size,TEXT,true,true,,,,
Typical distance,typicalDistance,DECIMAL,true,false,km,year,14481,
Source,source,TEXT,true,false,,,,
kgCO2 Per Km US,kgCO2PerKmUS,DECIMAL,true,false,,,,
kgCO2 Per Km,kgCO2PerKm,DECIMAL,true,false,,,,
Occupants,occupants,DECIMAL,false,false,,,-1,
Eco driving,ecoDriving,BOOLEAN,false,false,,,false,false,true
Distance Km Per Month,distanceKmPerMonth,DECIMAL,false,false,km,month,,
Regularly serviced,regularlyServiced,BOOLEAN,false,false,,,true,false,true
Own Fuel Consumption,ownFuelConsumption,DECIMAL,false,false,km,L,0,
Use typical distance,useTypicalDistance,BOOLEAN,false,false,,,false,false,true
Fuel Consumption,fuelConsumption,DECIMAL,false,false,km,L,0,
Total fuel consumed,fuelConsumed,DECIMAL,false,false,L,,,
Tyres underinflated,tyresUnderinflated,BOOLEAN,false,false,,,false,false,true
km per litre,kmPerLitre,DECIMAL,false,false,km,L,0,
Aircon full,airconFull,BOOLEAN,false,false,,,false,false,true
km per litre own,kmPerLitreOwn,DECIMAL,false,false,km,L,0,
Distance,distance,DECIMAL,false,false,km,year,,
Aircon typical,airconTypical,BOOLEAN,false,false,,,true,false,true
Country,country,TEXT,false,false,,,,
