"airportName","country","IATACode","fullName","latitude","longitude","units","source"
"Anaa [AAA]","French Polynesia","AAA","Anaa","-17.35","-145.51","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Annaba [AAE]","Algeria","AAE","Annaba","36.82","7.81","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aachen [AAH]","Germany","AAH","Aachen Merzbruck","50.82","6.19","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aalborg [AAL]","Denmark","AAL","Aalborg","57.09","9.85","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Anaco [AAO]","Venezuela","AAO","Anaco","9.43","-64.47","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Aarhus [AAR]","Denmark","AAR","Aarhus","56.3","10.62","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Abakan [ABA]","Russia","ABA","Abakan","53.74","91.39","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Abadan [ABD]","Iran","ABD","Abadan","30.37","48.23","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Abilene [ABI]","United States","ABI","Abilene Regional","32.41","-99.68","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Abidjan [ABJ]","Ivory Coast","ABJ","Abidjan Felix Houphouet Boigny International","5.26","-3.93","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Amberley [ABM]","Australia","ABM","Bamaga Injinoo","-10.95","142.46","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Kirtland Air Force Base [ABQ]","United States","ABQ","Albuquerque International Sunport","35.04","-106.61","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Abu Simbel [ABS]","Egypt","ABS","Abu Simbel","22.38","31.61","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"El-Baha [ABT]","Saudi Arabia","ABT","Al Baha","20.3","41.63","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
"Abuja [ABV]","Nigeria","ABV","Abuja Nnamdi Azikiwe International","9.01","7.26","degrees N and E","http://www.partow.net/miscellaneous/airportdatabase/"
