type,passengerClass,kgCO2PerPassengerKm,kgCO2ePerKmForCH4,kgCO2ePerKmForN2O,units,source,algorithm,default
domestic,unspecified,0.17102,0.00013,0.00168,kgCO2e/pkm,http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls,,
short haul,unspecified,0.09826,0.00001,0.00097,kgCO2e/pkm,http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls,,
long haul,unspecified,0.11220,0.00001,0.00110,kgCO2e/pkm,http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls,,
short haul,economy,0.09365,0.00001,0.00092,kgCO2e/pkm,http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls,,
short haul,business,0.14047,0.00001,0.00138,kgCO2/pkm,http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls,,
long haul,economy,0.08191,0.00000,0.00081,kgCO2/pkm,http://www.defra.gov.uk/environment/business/reporting/pdf/20090717-guidelines-ghg-conversion-factors.xls,,
long haul,economy plus,0.13105,0.00001,0.00129,kgCO2/pkm,http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls,,
long haul,business,0.23753,0.00001,0.00234,kgCO2/pkm,http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls,,
long haul,first,0.32763,0.00002,0.00322,kgCO2/pkm,http://www.defra.gov.uk/environment/business/reporting/pdf/20090928-guidelines-ghg-conversion-factors.xls,,
auto,unspecified,-1.0,0,0,N/A,N/A,,
auto,economy,-1.0,0,0,N/A,N/A,,
auto,business,-1.0,0,0,N/A,N/A,,
auto,first,-1.0,0,0,N/A,N/A,,
