name,Plane Generic DEFRA
algFile,default.js
name,path,type,isDataItemValue,isDrillDown,unit,perUnit,default,choices
Type,type,TEXT,true,true,,,,
Passenger class,passengerClass,TEXT,true,true,,,,
kgCO2 Per Passenger Km,kgCO2PerPassengerKm,DECIMAL,true,false,,,,
kgCO2e Per Passenger Km for CH4,kgCO2ePerKmForCH4,DECIMAL,true,false,,,,
kgCO2e Per Passenger Km for N2O,kgCO2ePerKmForN2O,DECIMAL,true,false,,,,
Source,source,TEXT,true,false,,,,
IATA code 1,IATACode1,TEXT,false,false,,,,
IATA code 2,IATACode2,TEXT,false,false,,,,
Distance,distance,DECIMAL,false,false,km,year,,
Journeys,journeys,DECIMAL,false,false,,year,,
Lat1,lat1,DECIMAL,false,false,,,-999,
Lat2,lat2,DECIMAL,false,false,,,-999,
Long1,long1,DECIMAL,false,false,,,-999,
Long2,long2,DECIMAL,false,false,,,-999,
Number of passengers,numberOfPassengers,DECIMAL,false,false,,,,
Radiative Forcing Index (RFI),radiativeForcingIndex,DECIMAL,false,false,,,1.9,
Use RFI,useRFI,TEXT,false,false,,,false,true,false
Is return flight,isReturn,TEXT,false,false,,,false,true,false
