name,Jet aircraft
algFile,default.js
name,path,isDataItemValue,isDrillDown,unit,perUnit,default,choices
Aircraft name,aircraft,TEXT,true,true,,,,
Take off fuel consumption,massFuelTakeOff,DECIMAL,true,false,kg,,,
Climb out fuel consumption,massFuelClimbOut,DECIMAL,true,false,kg,,,
Approach fuel consumption,massFuelApproach,DECIMAL,true,false,kg,,,
Taxiing fuel consumption,massFuelTaxi,DECIMAL,true,false,kg,,,
232 km cruise fuel consumption,massFuelCruise232km,DECIMAL,true,false,kg,,,
463 km cruise fuel consumption,massFuelCruise463km,DECIMAL,true,false,kg,,,
926 km cruise fuel consumption,massFuelCruise926km,DECIMAL,true,false,kg,,,
1389 km cruise fuel consumption,massFuelCruise1389km,DECIMAL,true,false,kg,,,
1852 km cruise fuel consumption,massFuelCruise1852km,DECIMAL,true,false,kg,,,
2778 km cruise fuel consumption,massFuelCruise2778km,DECIMAL,true,false,kg,,,
3704 km cruise fuel consumption,massFuelCruise3704km,DECIMAL,true,false,kg,,,
4630 km cruise fuel consumption,massFuelCruise4630km,DECIMAL,true,false,kg,,,
5556 km cruise fuel consumption,massFuelCruise5556km,DECIMAL,true,false,kg,,,
6482 km cruise fuel consumption,massFuelCruise6482km,DECIMAL,true,false,kg,,,
7408 km cruise fuel consumption,massFuelCruise7408km,DECIMAL,true,false,kg,,,
8334 km cruise fuel consumption,massFuelCruise8334km,DECIMAL,true,false,kg,,,
9260 km cruise fuel consumption,massFuelCruise9260km,DECIMAL,true,false,kg,,,
10186 km cruise fuel consumption,massFuelCruise10186km,DECIMAL,true,false,kg,,,
11112 km cruise fuel consumption,massFuelCruise11112km,DECIMAL,true,false,kg,,,
12038 km cruise fuel consumption,massFuelCruise12038km,DECIMAL,true,false,kg,,,
Aircraft IATA Code,IATACode,TEXT,true,false,,,,
Aircraft ICAO Code,ICAOCode,TEXT,true,false,,,,
Representative aircraft,representativeAircraft,TEXT,true,false,,,,
Flight distance,distance,DECIMAL,false,false,km,,,
IATA code 1,IATACode1,TEXT,false,false,,,,
IATA code 2,IATACode2,TEXT,false,false,,,,
Number of journeys,journeys,INTEGER,false,false,,,1,
Lat1,lat1,DECIMAL,false,false,,,-999,
Lat2,lat2,DECIMAL,false,false,,,-999,
Long1,long1,DECIMAL,false,false,,,-999,
Long2,long2,DECIMAL,false,false,,,-999,
Duration of take off,takeOffDuration,DECIMAL,false,false,min,,0.7,
Duration of climb out,climbOutDuration,DECIMAL,false,false,min,,2.2,
Duration of approach,approachDuration,DECIMAL,false,false,min,,4,
Duration taxiing,taxiDuration,DECIMAL,false,false,min,,26,
Use RFI,useRFI,TEXT,false,false,,,false,true,false
Radiative Forcing Index (RFI),radiativeForcingIndex,DECIMAL,false,false,,,1.9,
Source,source,TEXT,true,false,,,,
