"type","volumeFuelPerTime","description","units","source"
"A-10A",38.850,"twin engine light bomber",,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"B-1B",232.650,"Four engine long-range strategic bomber. Used by USA only",,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"B-52H",363.883,"Eight engine long-range strategic bomber. Used by USA only",,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"C-12J",6.633,"Twin turboprop light transport. Beech King Air variant",,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"C-130E",49.267,"Four turboprop transport. Used by many countries.",,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"C-141B",130.817,"Four engine long-range transport. Used by USA only",,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"C-5B",224.550,"Four engine long-range heavy transport. Used by USA only",,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"C-9C",62.417,"Twin engine transport. Military variant of DC-9.",,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"E-4B",288.983,"Four engine transport. Military variant of Boeing 747.",,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"F-15D",97.083,"Twin engine fighter.",,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"F-15E",115.850,"Twin engine fighter-bomber",,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"F-16C",54.200,"Single engine fighter. Used by many countries.",,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"KC-10A",166.700,"Three engine tanker. Military variant of DC-10",,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"KC-135E",118.900,"Four engine tanker. Military variant of Boeing 707.",,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"KC-135R",101.067,"Four engine tanker with newer engines. Boeing 707 variant.",,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"T-37B",11.567,"Twin engine jet trainer.",,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
"T-38A",4.367,"Twin engine jet trainer. Similar to F-5.",,"http://www.ipcc-nggip.iges.or.jp/public/2006gl/pdf/2_Volume2/V2_3_Ch3_Mobile_Combustion.pdf"
